date,store_id,product_id,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,holiday/promotion,competitor_pricing,visitors,cost,category_Electronics,category_Furniture,category_Groceries,category_Toys,region_North,region_South,region_West,weather_condition_Rainy,weather_condition_Snowy,weather_condition_Sunny,seasonality_Spring,seasonality_Summer,seasonality_Winter
2022-01-01,S001,P0019,352,257,186,267.38,73.28,10,0,77.26,458,42.03,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-01,S001,P0020,274,99,166,115.23,30.24,5,0,27.1,279,16.5,0,0,0,1,0,0,0,0,0,0,1,0,0
2022-01-01,S002,P0001,343,104,144,112.55,32.8,20,1,30.78,303,21.74,0,0,1,0,0,1,0,0,0,1,1,0,0
2022-01-01,S002,P0002,373,141,151,135.62,46.16,10,1,45.21,243,28.79,0,0,0,0,0,0,1,1,0,0,0,0,1
2022-01-01,S002,P0003,445,182,119,176.31,20.46,20,1,22.0,233,15.7,0,1,0,0,0,0,0,0,1,0,1,0,0
2022-01-01,S002,P0004,191,63,115,54.57,26.19,0,0,28.06,200,15.39,0,0,0,1,0,0,1,0,0,0,0,0,0
2022-01-01,S002,P0005,281,156,25,150.9,83.29,20,0,80.64,441,59.26,0,0,0,1,0,0,1,1,0,0,0,0,0
2022-01-01,S002,P0006,492,250,168,242.57,85.59,20,0,86.82,457,67.48,0,1,0,0,1,0,0,0,0,0,0,0,1
2022-01-01,S002,P0007,460,393,70,401.48,91.13,5,0,93.33,480,61.18,0,0,1,0,0,0,1,0,0,1,0,1,0
2022-01-01,S002,P0008,304,29,99,35.54,66.96,20,0,65.36,208,38.11,1,0,0,0,0,0,1,0,1,0,0,1,0
2022-01-01,S002,P0009,113,9,84,14.78,81.29,5,1,82.06,250,52.65,0,0,0,0,0,1,0,1,0,0,0,0,1
2022-01-01,S002,P0010,157,126,181,132.75,60.84,0,1,65.22,363,45.02,1,0,0,0,1,0,0,0,1,0,0,0,1
2022-01-01,S002,P0011,67,13,33,7.44,34.62,0,1,33.98,83,23.98,0,0,1,0,0,0,1,0,1,0,0,0,0
2022-01-01,S002,P0012,281,25,136,37.27,19.56,5,1,19.01,235,12.98,0,0,1,0,0,0,0,1,0,0,0,0,1
2022-01-01,S002,P0013,389,283,177,299.7,57.78,20,0,58.5,536,29.13,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-01-01,S002,P0014,465,359,77,370.36,91.28,20,0,90.85,466,65.14,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-01,S002,P0015,197,129,94,148.55,59.9,15,1,55.23,200,44.73,0,0,0,1,0,1,0,0,0,1,0,0,1
2022-01-01,S002,P0016,242,63,85,58.07,45.65,20,1,42.17,348,25.58,0,0,0,1,0,1,0,1,0,0,1,0,0
2022-01-01,S002,P0017,398,373,92,390.89,11.71,20,1,10.0,511,8.01,0,0,1,0,0,0,1,0,0,0,0,0,1
2022-01-01,S002,P0018,234,160,140,177.41,58.84,5,0,54.39,258,34.06,0,0,1,0,1,0,0,0,0,0,0,1,0
2022-01-01,S002,P0019,67,15,186,34.38,84.99,5,1,81.02,283,43.51,0,0,0,1,0,0,0,0,0,1,0,0,1
2022-01-01,S002,P0020,221,101,38,115.0,87.1,0,1,91.56,209,62.8,0,0,0,1,0,0,1,1,0,0,1,0,0
2022-01-01,S003,P0001,241,147,180,161.09,67.21,5,1,67.39,366,46.22,0,0,0,1,0,1,0,0,0,1,0,1,0
2022-01-01,S003,P0002,115,4,169,11.11,28.2,10,1,25.63,273,20.54,1,0,0,0,0,0,1,0,0,1,1,0,0
2022-01-01,S003,P0003,375,77,145,75.04,56.16,10,1,57.16,314,31.74,0,0,1,0,0,1,0,0,0,1,1,0,0
2022-01-01,S003,P0004,153,31,145,42.99,89.53,20,1,93.6,288,70.55,0,0,0,1,0,1,0,1,0,0,0,0,1
2022-01-01,S003,P0005,438,325,20,330.92,97.95,20,0,93.54,389,72.36,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-01-01,S003,P0006,456,163,22,159.17,76.37,5,1,71.38,402,46.89,0,0,1,0,1,0,0,1,0,0,0,1,0
2022-01-01,S003,P0007,189,34,107,26.91,86.99,15,1,90.5,273,60.19,1,0,0,0,1,0,0,1,0,0,0,1,0
2022-01-01,S003,P0008,223,47,107,45.48,66.53,15,1,70.46,271,48.21,0,0,0,1,1,0,0,0,0,0,1,0,0
2022-01-01,S003,P0009,381,15,184,30.05,74.86,15,1,73.93,254,43.15,0,0,1,0,0,1,0,0,1,0,0,0,1
2022-01-01,S003,P0010,166,126,124,141.34,97.09,5,1,95.8,226,53.22,0,0,1,0,0,1,0,1,0,0,0,1,0
2022-01-01,S003,P0011,292,232,155,242.02,56.19,0,1,57.85,389,40.43,0,0,0,1,0,0,0,0,1,0,0,0,1
2022-01-01,S003,P0012,311,175,55,176.75,90.38,20,0,89.52,279,59.43,1,0,0,0,1,0,0,0,0,0,0,1,0
2022-01-01,S003,P0013,51,17,172,12.86,73.98,20,1,76.65,310,56.71,0,1,0,0,1,0,0,0,0,0,0,1,0
2022-01-01,S003,P0014,398,369,26,387.88,79.03,5,0,82.51,482,41.14,1,0,0,0,0,1,0,1,0,0,1,0,0
2022-01-01,S003,P0015,445,260,24,266.36,27.72,5,0,23.28,558,21.81,0,0,0,0,0,0,1,0,1,0,0,0,0
2022-01-01,S003,P0016,487,347,93,349.36,98.18,15,0,99.58,527,58.02,0,0,1,0,0,1,0,1,0,0,0,0,1
2022-01-01,S003,P0017,429,150,168,157.82,27.1,5,1,27.4,428,19.2,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-01-01,S003,P0018,204,70,170,83.01,97.08,15,1,94.88,170,49.43,0,0,0,1,0,0,1,0,1,0,0,0,1
2022-01-01,S003,P0019,330,249,37,268.25,26.71,15,1,24.81,433,13.42,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-01,S003,P0020,431,370,99,387.57,95.85,20,1,95.7,440,74.04,1,0,0,0,1,0,0,0,0,0,1,0,0
2022-01-01,S004,P0001,477,271,66,286.65,15.62,15,0,16.09,393,9.72,0,0,0,1,0,1,0,0,0,1,0,0,1
2022-01-01,S004,P0002,462,180,183,176.06,41.13,5,0,45.05,396,21.98,0,0,0,0,1,0,0,0,0,1,0,0,0
2022-01-01,S004,P0003,446,344,27,352.93,89.32,20,0,93.0,411,64.63,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-01,S004,P0004,437,0,160,-2.4,87.23,10,0,90.36,181,50.31,0,0,1,0,0,0,1,0,0,1,1,0,0
2022-01-01,S004,P0005,397,200,172,196.57,81.72,0,1,85.22,338,64.53,0,0,1,0,1,0,0,0,1,0,1,0,0
2022-01-01,S004,P0006,470,382,195,396.4,41.35,10,0,39.86,491,26.04,1,0,0,0,0,0,0,0,1,0,0,1,0
2022-01-01,S004,P0007,264,190,139,197.45,67.26,20,0,64.78,253,34.48,1,0,0,0,0,0,1,0,0,0,0,1,0
2022-01-01,S004,P0008,250,51,137,54.98,85.88,20,1,86.14,342,53.5,0,1,0,0,0,1,0,0,1,0,0,0,1
2022-01-01,S004,P0009,63,40,73,51.78,59.23,10,1,61.1,339,38.55,0,1,0,0,1,0,0,1,0,0,0,1,0
2022-01-01,S004,P0010,447,104,96,115.03,33.48,15,0,37.15,162,21.64,0,0,1,0,0,0,0,0,0,0,0,1,0
2022-01-01,S004,P0011,205,46,27,46.65,54.84,0,1,57.76,185,42.33,1,0,0,0,0,0,1,0,0,1,1,0,0
2022-01-01,S004,P0012,349,9,165,0.95,14.25,5,1,18.56,111,10.92,1,0,0,0,1,0,0,1,0,0,1,0,0
2022-01-01,S004,P0013,191,56,65,54.47,61.81,0,0,63.92,235,46.22,0,1,0,0,0,0,0,0,0,1,0,0,0
2022-01-01,S004,P0014,406,63,139,69.73,66.94,10,1,68.47,196,35.26,1,0,0,0,0,0,1,0,1,0,0,0,1
2022-01-01,S004,P0015,228,181,127,171.96,60.54,5,0,65.27,322,47.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-01-01,S004,P0016,263,94,24,98.05,94.26,15,0,96.74,254,55.0,0,0,1,0,0,1,0,1,0,0,0,1,0
2022-01-01,S004,P0017,203,46,75,55.12,25.55,0,0,28.07,283,13.15,1,0,0,0,0,1,0,1,0,0,0,0,1
2022-01-01,S004,P0018,143,8,27,27.3,16.73,5,1,18.79,256,13.37,0,0,1,0,0,0,1,0,0,0,1,0,0
2022-01-01,S004,P0019,359,172,125,181.25,71.2,15,1,73.85,393,36.94,0,0,1,0,0,0,1,1,0,0,1,0,0
2022-01-01,S004,P0020,211,68,37,86.27,11.5,20,0,9.26,125,5.96,0,0,0,0,0,0,1,0,1,0,0,0,1
2022-01-01,S005,P0001,111,77,60,83.47,70.33,10,0,70.29,301,52.11,0,0,0,1,0,0,1,0,0,0,0,0,1
2022-01-01,S005,P0002,415,298,107,292.96,57.15,5,1,60.71,382,29.78,0,0,0,0,0,0,1,0,1,0,0,0,0
2022-01-01,S005,P0003,384,64,26,76.02,36.17,5,0,40.93,319,23.06,1,0,0,0,1,0,0,0,0,1,1,0,0
2022-01-01,S005,P0004,436,300,174,292.04,50.77,15,1,54.7,430,36.12,0,1,0,0,0,0,1,0,1,0,1,0,0
2022-01-01,S005,P0005,180,21,47,38.63,92.86,15,1,96.3,234,55.69,0,0,0,0,0,0,1,1,0,0,0,0,1
2022-01-01,S005,P0006,185,176,163,174.06,60.76,20,0,61.15,275,42.5,0,0,1,0,1,0,0,0,0,0,0,1,0
2022-01-01,S005,P0007,292,131,140,122.6,46.47,15,0,50.84,284,36.56,0,0,0,0,0,1,0,0,1,0,0,1,0
2022-01-01,S005,P0008,478,317,197,328.64,34.08,5,1,30.44,498,27.21,0,0,0,1,0,0,1,0,1,0,0,0,1
2022-01-01,S005,P0009,182,97,27,92.62,87.81,5,0,85.45,148,57.06,0,0,1,0,0,0,1,0,1,0,1,0,0
2022-01-01,S005,P0010,87,8,141,14.38,37.04,10,1,36.87,191,26.97,0,0,0,0,0,0,0,1,0,0,0,1,0
2022-01-01,S005,P0011,427,104,128,94.65,54.12,10,1,53.03,207,37.72,0,0,1,0,0,0,1,1,0,0,0,1,0
2022-01-01,S005,P0012,245,87,188,90.59,67.64,15,0,63.53,242,52.44,1,0,0,0,0,0,1,0,0,1,0,1,0
2022-01-01,S005,P0013,317,238,95,256.57,82.18,5,0,87.09,291,64.06,0,1,0,0,0,1,0,0,0,0,0,1,0
2022-01-01,S005,P0014,325,171,43,188.55,42.62,20,1,42.01,274,28.68,1,0,0,0,0,1,0,0,0,0,0,0,0
2022-01-01,S005,P0015,411,250,119,260.79,11.54,10,0,11.27,520,6.82,0,1,0,0,0,0,1,0,0,0,1,0,0
2022-01-01,S005,P0016,71,11,32,1.85,16.3,5,0,17.98,251,8.75,0,0,0,0,0,1,0,0,0,1,0,0,1
2022-01-01,S005,P0017,388,371,98,390.04,98.31,15,1,102.42,566,59.69,1,0,0,0,0,0,0,0,0,1,1,0,0
2022-01-01,S005,P0018,161,107,66,103.97,48.96,10,1,50.03,374,34.71,0,1,0,0,0,0,1,0,1,0,1,0,0
2022-01-01,S005,P0019,235,106,124,119.33,88.22,5,0,91.16,199,54.67,0,0,1,0,0,1,0,1,0,0,1,0,0
2022-01-01,S005,P0020,108,101,52,105.92,11.04,10,1,9.14,312,5.59,1,0,0,0,0,1,0,0,1,0,0,0,0
2022-01-02,S001,P0001,116,81,104,92.94,27.95,10,0,30.89,332,18.98,0,0,1,0,0,0,1,0,0,0,1,0,0
2022-01-02,S001,P0002,416,163,79,171.6,19.78,15,0,18.76,402,12.33,0,0,0,0,0,0,1,0,0,0,1,0,0
2022-01-02,S001,P0003,488,464,163,463.12,70.99,10,0,72.93,741,40.88,0,0,0,0,0,1,0,0,1,0,0,1,0
2022-01-02,S001,P0004,248,116,107,133.92,49.56,5,0,50.46,179,29.88,0,0,1,0,0,0,0,0,1,0,0,1,0
2022-01-02,S001,P0005,238,200,40,204.3,23.76,15,1,19.19,344,16.82,1,0,0,0,0,0,0,0,0,1,0,1,0
2022-01-02,S001,P0006,471,58,32,51.57,47.56,0,1,46.82,155,24.3,0,1,0,0,0,0,0,0,1,0,0,1,0
2022-01-02,S001,P0007,178,56,149,60.3,17.1,5,1,17.0,120,10.56,1,0,0,0,1,0,0,0,1,0,0,0,0
2022-01-02,S001,P0008,92,74,121,67.04,58.89,5,0,61.56,323,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,S001,P0009,99,54,182,70.6,99.76,20,0,95.61,309,71.25,0,0,0,1,0,1,0,0,0,0,1,0,0
2022-01-02,S001,P0010,171,39,163,47.8,11.44,5,0,12.71,303,9.13,0,0,0,0,1,0,0,0,0,1,0,1,0
2022-01-02,S001,P0011,215,12,173,16.92,53.84,0,1,53.79,310,32.98,0,1,0,0,0,0,0,0,0,0,1,0,0
2022-01-02,S001,P0012,281,56,187,70.71,57.84,5,1,60.99,295,43.81,0,1,0,0,0,0,0,0,1,0,0,1,0
2022-01-02,S001,P0013,455,31,124,44.46,35.51,15,1,31.06,120,27.03,0,0,0,1,1,0,0,0,0,0,0,0,0
2022-01-02,S001,P0014,84,25,20,23.36,31.41,0,1,28.6,287,22.42,1,0,0,0,0,0,1,0,0,0,1,0,0
2022-01-02,S001,P0015,246,198,67,203.23,28.06,20,1,30.29,455,15.03,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-02,S001,P0016,399,77,147,67.55,35.67,15,0,38.02,363,25.9,1,0,0,0,0,0,1,0,1,0,0,1,0
2022-01-02,S001,P0017,242,165,105,181.86,28.18,5,0,27.5,296,17.67,0,1,0,0,0,0,1,0,0,0,0,0,0
2022-01-02,S001,P0018,478,42,168,55.16,74.42,5,0,69.67,202,53.91,0,0,0,1,1,0,0,0,1,0,0,1,0
2022-01-02,S001,P0019,156,8,67,24.41,91.95,5,1,87.43,110,54.4,0,1,0,0,0,1,0,0,0,0,1,0,0
2022-01-02,S001,P0020,221,174,168,187.49,97.88,0,0,99.5,247,76.44,1,0,0,0,1,0,0,0,1,0,0,0,0
2022-01-02,S002,P0001,402,343,141,339.04,66.57,20,1,63.92,546,34.44,1,0,0,0,0,0,1,1,0,0,0,1,0
2022-01-02,S002,P0002,132,71,60,82.44,90.36,5,0,86.73,337,71.36,0,1,0,0,0,0,1,1,0,0,0,0,1
2022-01-02,S002,P0003,218,157,31,153.42,92.24,5,1,89.57,394,55.5,0,0,1,0,0,0,1,0,1,0,0,0,0
2022-01-02,S002,P0004,131,88,109,100.61,68.71,0,0,69.34,261,38.42,0,0,1,0,0,1,0,0,1,0,1,0,0
2022-01-02,S002,P0005,93,64,128,57.53,87.22,5,1,90.59,350,59.23,0,0,1,0,1,0,0,0,0,0,1,0,0
2022-01-02,S002,P0006,344,273,154,273.1,79.38,0,0,77.28,363,52.19,0,0,1,0,0,0,0,1,0,0,0,0,0
2022-01-02,S002,P0007,340,247,148,264.18,17.41,15,0,13.57,453,13.21,0,0,1,0,1,0,0,0,1,0,0,1,0
2022-01-02,S002,P0008,241,42,187,46.32,14.8,15,1,13.94,106,10.96,1,0,0,0,1,0,0,0,0,1,1,0,0
2022-01-02,S002,P0009,296,197,157,195.61,30.5,0,0,28.86,291,20.56,1,0,0,0,1,0,0,0,0,1,1,0,0
2022-01-02,S002,P0010,472,374,65,387.41,27.84,15,1,32.0,488,17.8,0,0,1,0,0,0,1,0,0,0,1,0,0
2022-01-02,S002,P0011,308,154,22,169.13,88.62,0,0,86.3,292,70.85,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-01-02,S002,P0012,434,236,30,239.09,82.35,20,0,83.13,356,46.61,0,0,0,1,1,0,0,1,0,0,0,0,0
2022-01-02,S002,P0013,287,278,92,279.91,92.57,10,1,97.09,336,68.86,0,0,0,1,1,0,0,0,0,1,0,1,0
2022-01-02,S002,P0014,190,27,134,31.53,94.38,5,0,89.47,164,56.56,0,1,0,0,0,0,1,1,0,0,0,0,0
2022-01-02,S002,P0015,353,106,191,110.49,70.59,0,1,75.27,284,45.87,0,0,0,1,1,0,0,0,0,0,0,0,1
2022-01-02,S002,P0016,210,154,70,166.83,63.13,10,0,67.23,439,32.52,0,0,0,1,0,0,1,0,0,1,0,0,0
2022-01-02,S002,P0017,193,176,38,174.49,46.04,5,1,41.4,361,25.62,0,0,0,0,0,0,1,1,0,0,0,0,0
2022-01-02,S002,P0018,124,124,46,116.05,21.07,10,0,21.71,389,12.31,0,0,1,0,0,0,0,0,0,1,0,0,0
2022-01-02,S002,P0019,492,479,132,469.74,79.11,0,0,80.06,591,43.67,0,0,0,1,0,0,0,0,0,0,0,0,1
2022-01-02,S002,P0020,222,78,42,76.55,64.99,0,1,65.4,266,34.58,0,0,0,0,0,1,0,0,0,1,0,1,0
2022-01-02,S003,P0001,277,114,40,132.41,73.48,10,0,72.55,406,52.85,0,0,0,1,0,0,1,0,0,0,0,0,0
2022-01-02,S003,P0002,175,2,140,-3.4,87.5,0,0,91.2,132,60.79,0,0,1,0,0,0,0,1,0,0,0,0,0
2022-01-02,S003,P0003,157,7,187,22.8,88.68,20,1,87.38,192,59.91,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-01-02,S003,P0004,120,54,154,49.64,82.36,20,0,85.85,266,50.49,0,1,0,0,0,0,1,0,1,0,0,0,0
2022-01-02,S003,P0005,375,282,61,297.42,38.56,5,0,36.57,494,19.59,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-01-02,S003,P0006,302,93,33,106.58,97.74,0,0,97.69,175,56.36,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-02,S003,P0007,375,85,40,85.31,37.68,15,0,36.72,257,23.64,1,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-02,S003,P0008,248,136,50,130.52,36.03,5,0,37.49,190,24.25,0,0,0,0,0,1,0,1,0,0,1,0,0
2022-01-02,S003,P0009,219,140,196,139.46,88.97,0,1,91.53,423,58.19,1,0,0,0,0,0,1,0,1,0,1,0,0
2022-01-02,S003,P0010,146,79,155,94.23,16.48,10,1,21.42,359,9.94,0,1,0,0,0,0,1,0,0,0,1,0,0
2022-01-02,S003,P0011,218,106,111,117.65,58.37,10,1,58.1,405,31.21,0,1,0,0,0,1,0,0,0,0,0,0,0
2022-01-02,S003,P0012,260,1,142,1.99,27.86,5,1,31.78,91,15.11,0,0,1,0,0,0,1,0,1,0,0,0,1
2022-01-02,S003,P0013,414,203,53,206.35,39.14,5,1,35.3,280,28.28,1,0,0,0,0,0,1,1,0,0,0,0,0
2022-01-02,S003,P0014,420,368,71,384.47,66.51,0,0,70.84,552,39.23,0,0,0,1,1,0,0,0,0,0,1,0,0
2022-01-02,S003,P0015,435,286,159,283.25,89.65,20,0,84.99,536,66.35,1,0,0,0,0,0,0,0,1,0,0,0,1
2022-01-02,S003,P0016,230,69,173,70.77,86.7,20,0,91.05,190,61.95,0,0,0,0,0,1,0,1,0,0,1,0,0
2022-01-02,S003,P0017,456,52,78,65.67,29.69,20,0,25.27,113,16.63,0,0,0,1,0,1,0,0,1,0,0,1,0
2022-01-02,S003,P0018,319,109,83,126.67,86.93,10,1,82.59,320,66.35,0,0,0,1,0,0,0,1,0,0,0,0,1
2022-01-02,S003,P0019,59,50,135,44.37,59.33,10,0,54.98,132,31.56,0,1,0,0,1,0,0,0,0,0,1,0,0
2022-01-02,S003,P0020,155,0,92,9.42,57.07,10,1,53.34,97,36.85,1,0,0,0,0,0,0,1,0,0,0,1,0
2022-01-02,S004,P0001,144,22,45,39.12,74.16,15,0,69.74,318,51.24,1,0,0,0,1,0,0,1,0,0,0,0,0
2022-01-02,S004,P0002,283,45,156,46.65,59.38,0,1,62.4,245,43.77,1,0,0,0,0,0,0,0,0,1,1,0,0
2022-01-02,S004,P0003,347,89,122,87.77,48.18,0,1,49.64,200,25.25,0,0,0,0,0,0,0,0,0,1,1,0,0
2022-01-02,S004,P0004,410,209,128,224.66,94.75,20,0,90.1,474,66.11,0,0,1,0,0,0,0,0,1,0,0,0,0
2022-01-02,S004,P0005,99,4,76,14.91,60.89,5,0,59.42,90,44.2,0,0,0,1,0,0,1,0,0,1,0,0,0
2022-01-02,S004,P0006,97,47,138,52.02,14.71,5,0,16.85,195,11.02,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-01-02,S004,P0007,339,115,95,124.22,33.09,10,0,28.55,336,17.65,0,1,0,0,0,0,1,1,0,0,1,0,0
2022-01-02,S004,P0008,144,27,119,21.73,98.75,15,0,102.7,180,68.03,0,0,0,1,0,1,0,0,1,0,0,1,0
2022-01-02,S004,P0009,110,90,28,103.6,12.4,20,0,8.56,353,7.3,0,1,0,0,0,1,0,0,1,0,0,0,0
2022-01-02,S004,P0010,348,206,67,214.99,92.01,15,1,87.81,474,67.22,0,0,1,0,0,1,0,0,1,0,0,0,0
2022-01-02,S004,P0011,458,328,144,339.54,92.12,20,1,87.37,412,46.89,0,0,0,1,0,0,0,0,0,1,1,0,0
2022-01-02,S004,P0012,403,155,24,145.99,37.39,20,0,38.71,397,28.89,0,0,1,0,0,1,0,0,0,1,1,0,0
2022-01-02,S004,P0013,198,184,161,191.55,85.35,10,1,80.79,460,47.85,0,0,0,0,0,0,1,1,0,0,1,0,0
2022-01-02,S004,P0014,472,16,166,28.75,82.64,0,0,78.35,166,54.15,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,S004,P0015,178,90,79,98.56,92.19,10,1,97.07,314,63.7,0,0,0,1,1,0,0,0,1,0,0,1,0
2022-01-02,S004,P0016,215,178,111,180.76,61.41,0,0,61.32,433,45.04,0,0,0,0,0,0,1,0,0,1,1,0,0
2022-01-02,S004,P0017,477,256,150,254.89,96.47,20,0,93.35,436,60.36,1,0,0,0,0,1,0,0,0,0,1,0,0
2022-01-02,S004,P0018,198,27,62,25.51,89.33,0,0,89.63,77,55.38,0,1,0,0,0,1,0,0,0,1,1,0,0
2022-01-02,S004,P0019,110,67,83,79.41,59.49,20,1,57.55,121,45.37,0,0,1,0,1,0,0,1,0,0,1,0,0
2022-01-02,S004,P0020,254,84,112,77.15,73.05,15,1,74.55,351,58.42,1,0,0,0,1,0,0,0,0,1,0,0,0
2022-01-02,S005,P0001,223,67,53,74.8,67.49,5,0,65.24,363,51.75,0,0,1,0,0,0,0,0,0,1,0,0,1
2022-01-02,S005,P0002,100,15,114,28.97,66.05,10,1,65.16,206,37.54,0,1,0,0,0,0,1,0,0,1,0,0,0
2022-01-02,S005,P0003,397,333,35,336.02,80.88,20,1,84.97,485,52.33,0,0,0,1,0,0,1,1,0,0,0,0,1
2022-01-02,S005,P0004,442,56,38,54.08,60.5,10,1,64.88,132,32.87,0,0,1,0,1,0,0,0,0,0,1,0,0
2022-01-02,S005,P0005,411,165,194,172.41,71.72,20,0,75.17,351,52.01,0,1,0,0,0,0,1,1,0,0,0,0,0
2022-01-02,S005,P0006,76,54,175,49.32,69.21,15,1,71.17,310,47.55,0,0,0,0,1,0,0,1,0,0,0,1,0
2022-01-02,S005,P0007,257,93,148,84.69,70.69,20,0,71.37,157,42.96,0,0,0,0,0,0,0,0,1,0,0,0,1
2022-01-02,S005,P0008,353,250,57,254.75,63.54,15,0,61.05,389,47.99,0,1,0,0,0,0,0,0,0,0,0,1,0
2022-01-02,S005,P0009,119,90,76,99.63,78.08,10,0,73.69,181,43.53,1,0,0,0,0,0,1,0,0,1,0,0,1
2022-01-02,S005,P0010,403,83,77,84.32,43.09,10,1,47.02,256,26.83,0,1,0,0,0,0,1,0,0,1,1,0,0
2022-01-02,S005,P0011,60,16,149,23.98,25.67,5,1,27.78,270,14.51,1,0,0,0,0,0,0,0,0,1,0,0,1
2022-01-02,S005,P0012,182,87,121,83.13,38.59,20,0,33.87,315,29.03,0,0,0,1,0,0,1,1,0,0,1,0,0
2022-01-02,S005,P0013,455,241,136,235.03,57.99,5,0,55.4,353,43.31,0,1,0,0,0,0,0,0,0,1,1,0,0
2022-01-02,S005,P0014,437,286,116,282.52,14.65,20,1,13.12,431,9.05,0,0,0,1,0,1,0,0,1,0,0,0,1
2022-01-02,S005,P0015,289,60,83,52.77,63.26,0,1,61.02,340,33.41,0,0,0,0,0,0,1,1,0,0,0,0,0
2022-01-02,S005,P0016,487,437,106,432.86,43.64,15,1,39.13,727,31.06,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-02,S005,P0017,418,377,76,383.26,84.85,20,1,84.29,478,62.03,0,0,0,1,1,0,0,0,0,1,0,1,0
2022-01-02,S005,P0018,89,83,113,78.67,47.05,15,1,47.89,228,37.53,0,0,0,0,0,0,1,1,0,0,1,0,0
2022-01-02,S005,P0019,421,203,152,220.23,76.83,20,0,75.86,384,42.23,0,0,0,0,0,0,1,0,1,0,1,0,0
2022-01-02,S005,P0020,211,183,189,190.11,93.95,10,1,98.89,454,50.24,0,0,0,0,0,1,0,0,0,1,1,0,0
2022-01-03,S001,P0001,154,5,189,5.36,62.7,20,0,58.22,283,41.44,1,0,0,0,0,0,1,1,0,0,0,0,1
