date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,visitors,cost,profit_margin,margin_percent,demand_ratio,inventory_pressure,competitor_gap,discounted_price,revenue,conversion_rate,price_demand_ratio,stock_remaining,traffic_intensity,day_of_week,month,is_weekend
2022-01-01,S002,P0003,Furniture,East,445,182,119,176.31,20.46,1,Snowy,1,22.0,Spring,233,15.7,4.760000000000002,0.23264907135874885,1.026450848795894,0.4080717488789238,-1.5399999999999991,0.0,0.0,0.7777777777777778,0.11180327868852459,263,0.5224215246636771,5,1,1
2022-01-01,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,200,15.39,10.8,0.4123711340206186,1.133705236638474,0.328125,-1.8699999999999974,26.19,1649.97,0.31343283582089554,0.40921875,128,1.0416666666666667,5,1,1
2022-01-01,S002,P0005,Toys,West,281,156,25,150.9,83.29,1,Rainy,0,80.64,Autumn,441,59.26,24.03000000000001,0.2885100252131109,1.0269914417379855,0.5531914893617021,2.6500000000000057,0.0,0.0,0.35294117647058826,0.5305095541401275,125,1.5638297872340425,5,1,1
2022-01-01,S002,P0006,Furniture,North,492,250,168,242.57,85.59,1,Cloudy,0,86.82,Winter,457,67.48,18.11,0.21159013903493398,1.0263989818122101,0.5070993914807302,-1.2299999999999898,0.0,0.0,0.5458515283842795,0.340996015936255,242,0.9269776876267748,5,1,1
2022-01-01,S002,P0007,Groceries,West,460,393,70,401.48,91.13,1,Sunny,0,93.33,Summer,480,61.18,29.949999999999996,0.32865137715351694,0.9764460345855694,0.8524945770065075,-2.200000000000003,0.0,0.0,0.817047817047817,0.23129441624365482,67,1.0412147505422993,5,1,1
2022-01-01,S002,P0008,Electronics,West,304,29,99,35.54,66.96,1,Snowy,0,65.36,Summer,208,38.11,28.849999999999994,0.4308542413381123,0.7936507936507937,0.09508196721311475,1.5999999999999943,0.0,0.0,0.13875598086124402,2.2319999999999998,275,0.6819672131147541,5,1,1
2022-01-01,S002,P0009,Clothing,South,113,9,84,14.78,81.29,1,Rainy,1,82.06,Winter,250,52.65,28.640000000000008,0.35231885840816834,0.5703422053231939,0.07894736842105263,-0.769999999999996,0.0,0.0,0.035856573705179286,8.129000000000001,104,2.192982456140351,5,1,1
2022-01-01,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,363,45.02,15.82,0.2600262984878369,0.9420560747663551,0.7974683544303798,-4.3799999999999955,60.84,7665.84,0.34615384615384615,0.47905511811023627,31,2.2974683544303796,5,1,1
2022-01-01,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,83,23.98,10.639999999999997,0.3073367995378393,1.5402843601895733,0.19117647058823528,0.6400000000000006,34.62,450.05999999999995,0.15476190476190477,2.472857142857143,54,1.2205882352941178,5,1,1
2022-01-01,S002,P0012,Groceries,East,281,25,136,37.27,19.56,1,Rainy,1,19.01,Winter,235,12.98,6.579999999999998,0.33640081799590993,0.6532532009406845,0.08865248226950355,0.5499999999999972,0.0,0.0,0.1059322033898305,0.7523076923076922,256,0.8333333333333334,5,1,1
2022-01-01,S002,P0013,Clothing,East,389,283,177,299.7,57.78,1,Cloudy,0,58.5,Spring,536,29.13,28.650000000000002,0.495846313603323,0.9411373461922182,0.7256410256410256,-0.7199999999999989,0.0,0.0,0.527001862197393,0.2034507042253521,106,1.3743589743589744,5,1,1
2022-01-01,S002,P0014,Electronics,East,465,359,77,370.36,91.28,1,Cloudy,0,90.85,Summer,466,65.14,26.14,0.2863716038562664,0.9667169323567427,0.7703862660944206,0.4300000000000068,0.0,0.0,0.7687366167023555,0.25355555555555553,106,1.0,5,1,1
2022-01-01,S002,P0015,Toys,South,197,129,94,148.55,59.9,1,Sunny,1,55.23,Winter,200,44.73,15.170000000000002,0.25325542570951587,0.8625877632898695,0.6515151515151515,4.670000000000002,0.0,0.0,0.6417910447761194,0.46076923076923076,68,1.0101010101010102,5,1,1
2022-01-01,S002,P0016,Toys,South,242,63,85,58.07,45.65,1,Rainy,1,42.17,Spring,348,25.58,20.07,0.43964950711938666,1.0665312341289994,0.25925925925925924,3.479999999999997,0.0,0.0,0.18051575931232092,0.71328125,179,1.4320987654320987,5,1,1
2022-01-01,S002,P0017,Groceries,West,398,373,92,390.89,11.71,1,Cloudy,1,10.0,Winter,511,8.01,3.700000000000001,0.3159692570452605,0.9517976983337161,0.9348370927318296,1.7100000000000009,0.0,0.0,0.728515625,0.03131016042780749,25,1.280701754385965,5,1,1
2022-01-01,S002,P0018,Groceries,North,234,160,140,177.41,58.84,1,Cloudy,0,54.39,Summer,258,34.06,24.78,0.42114208021753907,0.8968107168880668,0.6808510638297872,4.450000000000003,0.0,0.0,0.6177606177606177,0.3654658385093168,74,1.097872340425532,5,1,1
2022-01-01,S002,P0019,Toys,East,67,15,186,34.38,84.99,1,Sunny,1,81.02,Winter,283,43.51,41.48,0.48805741851982587,0.4239683436970039,0.22058823529411764,3.969999999999999,0.0,0.0,0.0528169014084507,5.311875,52,4.161764705882353,5,1,1
2022-01-01,S002,P0020,Toys,West,221,101,38,115.0,87.1,0,Rainy,1,91.56,Spring,209,62.8,24.299999999999997,0.2789896670493685,0.8706896551724138,0.45495495495495497,-4.460000000000008,87.1,8797.099999999999,0.48095238095238096,0.8539215686274509,120,0.9414414414414415,5,1,1
2022-01-01,S003,P0001,Toys,South,241,147,180,161.09,67.21,1,Sunny,1,67.39,Summer,366,46.22,20.989999999999995,0.31230471656003567,0.9069035720895798,0.6074380165289256,-0.18000000000000682,0.0,0.0,0.40054495912806537,0.45412162162162156,94,1.512396694214876,5,1,1
2022-01-01,S003,P0002,Electronics,West,115,4,169,11.11,28.2,1,Sunny,1,25.63,Spring,273,20.54,7.66,0.27163120567375887,0.33030553261767137,0.034482758620689655,2.5700000000000003,0.0,0.0,0.014598540145985401,5.64,111,2.353448275862069,5,1,1
2022-01-01,S003,P0003,Groceries,South,375,77,145,75.04,56.16,1,Sunny,1,57.16,Spring,314,31.74,24.419999999999998,0.43482905982905984,1.0126249342451341,0.2047872340425532,-1.0,0.0,0.0,0.24444444444444444,0.72,298,0.8351063829787234,5,1,1
2022-01-01,S003,P0004,Toys,South,153,31,145,42.99,89.53,1,Rainy,1,93.6,Winter,288,70.55,18.980000000000004,0.21199597900145206,0.7047056149124801,0.2012987012987013,-4.069999999999993,0.0,0.0,0.10726643598615918,2.7978125,122,1.87012987012987,5,1,1
2022-01-01,S003,P0005,Clothing,West,438,325,20,330.92,97.95,1,Sunny,0,93.54,Winter,389,72.36,25.590000000000003,0.2612557427258806,0.9791516027958543,0.7403189066059226,4.409999999999997,0.0,0.0,0.8333333333333334,0.3004601226993865,113,0.8861047835990888,5,1,1
2022-01-01,S003,P0006,Groceries,North,456,163,22,159.17,76.37,1,Rainy,1,71.38,Summer,402,46.89,29.480000000000004,0.3860154510933613,1.0176687269775864,0.35667396061269147,4.990000000000009,0.0,0.0,0.4044665012406948,0.4656707317073171,293,0.8796498905908097,5,1,1
2022-01-01,S003,P0007,Electronics,North,189,34,107,26.91,86.99,1,Rainy,1,90.5,Summer,273,60.19,26.799999999999997,0.30808138866536383,1.2182013615191687,0.17894736842105263,-3.510000000000005,0.0,0.0,0.12408759124087591,2.4854285714285713,155,1.436842105263158,5,1,1
2022-01-01,S003,P0008,Toys,North,223,47,107,45.48,66.53,1,Cloudy,1,70.46,Spring,271,48.21,18.32,0.27536449721929956,1.0111876075731498,0.20982142857142858,-3.9299999999999926,0.0,0.0,0.17279411764705882,1.3860416666666666,176,1.2098214285714286,5,1,1
2022-01-01,S003,P0009,Groceries,South,381,15,184,30.05,74.86,1,Snowy,1,73.93,Winter,254,43.15,31.71,0.42359070264493726,0.4830917874396135,0.03926701570680628,0.9299999999999926,0.0,0.0,0.058823529411764705,4.67875,366,0.6649214659685864,5,1,1
2022-01-01,S003,P0010,Groceries,South,166,126,124,141.34,97.09,1,Rainy,1,95.8,Summer,226,53.22,43.870000000000005,0.4518488000823978,0.8852044400730644,0.7544910179640718,1.2900000000000063,0.0,0.0,0.5550660792951542,0.7644881889763779,40,1.3532934131736527,5,1,1
2022-01-01,S003,P0011,Toys,East,292,232,155,242.02,56.19,0,Snowy,1,57.85,Winter,389,40.43,15.759999999999998,0.2804769531945186,0.954653937947494,0.7918088737201365,-1.6600000000000037,56.19,13036.08,0.5948717948717949,0.24115879828326178,60,1.3276450511945392,5,1,1
2022-01-01,S003,P0012,Electronics,North,311,175,55,176.75,90.38,1,Cloudy,0,89.52,Summer,279,59.43,30.949999999999996,0.3424430183668953,0.9845288326300985,0.5608974358974359,0.8599999999999994,0.0,0.0,0.625,0.5135227272727273,136,0.8942307692307693,5,1,1
2022-01-01,S003,P0013,Furniture,North,51,17,172,12.86,73.98,1,Cloudy,1,76.65,Summer,310,56.71,17.270000000000003,0.23344147066774806,1.2265512265512266,0.3269230769230769,-2.6700000000000017,0.0,0.0,0.05466237942122187,4.11,34,5.961538461538462,5,1,1
2022-01-01,S003,P0014,Electronics,South,398,369,26,387.88,79.03,1,Rainy,0,82.51,Spring,482,41.14,37.89,0.4794381880298621,0.9488788315161489,0.924812030075188,-3.480000000000004,0.0,0.0,0.7639751552795031,0.2135945945945946,29,1.2080200501253133,5,1,1
2022-01-01,S003,P0015,Clothing,West,445,260,24,266.36,27.72,1,Snowy,0,23.28,Autumn,558,21.81,5.91,0.21320346320346323,0.9724715739078396,0.5829596412556054,4.439999999999998,0.0,0.0,0.46511627906976744,0.10620689655172413,185,1.251121076233184,5,1,1
2022-01-01,S003,P0016,Groceries,South,487,347,93,349.36,98.18,1,Rainy,0,99.58,Winter,527,58.02,40.160000000000004,0.4090446119372581,0.990409864139742,0.7110655737704918,-1.3999999999999915,0.0,0.0,0.6571969696969697,0.2821264367816092,140,1.0799180327868851,5,1,1
2022-01-01,S003,P0017,Clothing,East,429,150,168,157.82,27.1,1,Cloudy,1,27.4,Spring,428,19.2,7.900000000000002,0.29151291512915134,0.9444654325651681,0.3488372093023256,-0.29999999999999716,0.0,0.0,0.34965034965034963,0.1794701986754967,279,0.9953488372093023,5,1,1
2022-01-01,S003,P0018,Toys,West,204,70,170,83.01,97.08,1,Snowy,1,94.88,Winter,170,49.43,47.65,0.4908323032550474,0.8332341387930008,0.34146341463414637,2.200000000000003,0.0,0.0,0.4093567251461988,1.3673239436619717,134,0.8292682926829268,5,1,1
2022-01-01,S003,P0019,Clothing,East,330,249,37,268.25,26.71,1,Cloudy,1,24.81,Summer,433,13.42,13.290000000000001,0.49756645451141895,0.924791086350975,0.7522658610271903,1.9000000000000021,0.0,0.0,0.5737327188940092,0.10684,81,1.3081570996978853,5,1,1
2022-01-01,S003,P0020,Electronics,North,431,370,99,387.57,95.85,1,Cloudy,1,95.7,Spring,440,74.04,21.809999999999988,0.2275430359937401,0.9522093831227321,0.8564814814814815,0.14999999999999147,0.0,0.0,0.8390022675736961,0.25835579514824797,61,1.0185185185185186,5,1,1
2022-01-01,S004,P0001,Toys,South,477,271,66,286.65,15.62,1,Sunny,0,16.09,Winter,393,9.72,5.899999999999999,0.3777208706786171,0.9421171562662959,0.5669456066945606,-0.47000000000000064,0.0,0.0,0.6878172588832487,0.057426470588235294,206,0.8221757322175732,5,1,1
2022-01-01,S004,P0002,Clothing,North,462,180,183,176.06,41.13,1,Sunny,0,45.05,Autumn,396,21.98,19.150000000000002,0.4655968879163628,1.0166045408336157,0.38876889848812096,-3.9199999999999946,0.0,0.0,0.4534005037783375,0.2272375690607735,282,0.8552915766738661,5,1,1
2022-01-01,S004,P0003,Clothing,West,446,344,27,352.93,89.32,1,Cloudy,0,93.0,Autumn,411,64.63,24.689999999999998,0.2764218540080609,0.9719436046675897,0.7695749440715883,-3.680000000000007,0.0,0.0,0.8349514563106796,0.2588985507246377,102,0.9194630872483222,5,1,1
2022-01-01,S004,P0004,Groceries,West,437,0,160,-2.4,87.23,1,Sunny,0,90.36,Spring,181,50.31,36.92,0.4232488822652757,-0.0,0.0,-3.1299999999999955,0.0,0.0,0.0,87.23,437,0.4132420091324201,5,1,1
2022-01-01,S004,P0005,Groceries,North,397,200,172,196.57,81.72,0,Snowy,1,85.22,Spring,338,64.53,17.189999999999998,0.21035242290748896,1.0122994381738117,0.5025125628140703,-3.5,81.72,16344.0,0.5899705014749262,0.4065671641791045,197,0.8492462311557789,5,1,1
2022-01-01,S004,P0006,Electronics,East,470,382,195,396.4,41.35,1,Snowy,0,39.86,Summer,491,26.04,15.310000000000002,0.3702539298669892,0.961248112732763,0.8110403397027601,1.490000000000002,0.0,0.0,0.7764227642276422,0.10796344647519583,88,1.0424628450106157,5,1,1
2022-01-01,S004,P0007,Electronics,West,264,190,139,197.45,67.26,1,Cloudy,0,64.78,Summer,253,34.48,32.78000000000001,0.4873624739815642,0.9574200050390527,0.7169811320754716,2.480000000000004,0.0,0.0,0.7480314960629921,0.35214659685863875,74,0.9547169811320755,5,1,1
2022-01-01,S004,P0008,Furniture,South,250,51,137,54.98,85.88,1,Snowy,1,86.14,Winter,342,53.5,32.379999999999995,0.37703772706101535,0.9110396570203645,0.20318725099601595,-0.2600000000000051,0.0,0.0,0.14868804664723032,1.6515384615384614,199,1.3625498007968126,5,1,1
2022-01-01,S004,P0009,Furniture,North,63,40,73,51.78,59.23,1,Rainy,1,61.1,Summer,339,38.55,20.68,0.34914739152456525,0.757862826828344,0.625,-1.8700000000000045,0.0,0.0,0.11764705882352941,1.4446341463414634,23,5.296875,5,1,1
2022-01-01,S004,P0010,Groceries,East,447,104,96,115.03,33.48,1,Cloudy,0,37.15,Summer,162,21.64,11.839999999999996,0.35364396654719227,0.8963199172627768,0.23214285714285715,-3.6700000000000017,0.0,0.0,0.6380368098159509,0.31885714285714284,343,0.36160714285714285,5,1,1
2022-01-01,S004,P0011,Electronics,West,205,46,27,46.65,54.84,0,Sunny,1,57.76,Spring,185,42.33,12.510000000000005,0.22811816192560183,0.9653725078698846,0.22330097087378642,-2.9199999999999946,54.84,2522.6400000000003,0.24731182795698925,1.166808510638298,159,0.8980582524271845,5,1,1
2022-01-01,S004,P0012,Electronics,North,349,9,165,0.95,14.25,1,Rainy,1,18.56,Spring,111,10.92,3.33,0.2336842105263158,4.615384615384616,0.025714285714285714,-4.309999999999999,0.0,0.0,0.08035714285714286,1.425,340,0.3171428571428571,5,1,1
2022-01-01,S004,P0013,Furniture,East,191,56,65,54.47,61.81,0,Sunny,0,63.92,Autumn,235,46.22,15.590000000000003,0.25222455913282643,1.0095547142599604,0.2916666666666667,-2.1099999999999994,61.81,3461.36,0.23728813559322035,1.0843859649122807,135,1.2239583333333333,5,1,1
2022-01-01,S004,P0014,Electronics,West,406,63,139,69.73,66.94,1,Snowy,1,68.47,Winter,196,35.26,31.68,0.4732596354944727,0.8907111550968471,0.1547911547911548,-1.5300000000000011,0.0,0.0,0.3197969543147208,1.0459375,343,0.48157248157248156,5,1,1
2022-01-01,S004,P0015,Clothing,South,228,181,127,171.96,60.54,1,Cloudy,0,65.27,Autumn,322,47.34,13.199999999999996,0.21803766105054503,1.0464847363552265,0.7903930131004366,-4.729999999999997,0.0,0.0,0.5603715170278638,0.33263736263736265,47,1.4061135371179039,5,1,1
2022-01-01,S004,P0016,Groceries,South,263,94,24,98.05,94.26,1,Rainy,0,96.74,Summer,254,55.0,39.260000000000005,0.4165075323573096,0.9490156486622918,0.3560606060606061,-2.4799999999999898,0.0,0.0,0.3686274509803922,0.9922105263157895,169,0.9621212121212122,5,1,1
2022-01-01,S004,P0017,Electronics,South,203,46,75,55.12,25.55,0,Rainy,0,28.07,Winter,283,13.15,12.4,0.48532289628180036,0.819672131147541,0.22549019607843138,-2.5199999999999996,25.55,1175.3,0.1619718309859155,0.5436170212765957,157,1.3872549019607843,5,1,1
2022-01-01,S004,P0018,Groceries,West,143,8,27,27.3,16.73,1,Cloudy,1,18.79,Spring,256,13.37,3.360000000000001,0.2008368200836821,0.2826855123674912,0.05555555555555555,-2.0599999999999987,0.0,0.0,0.0311284046692607,1.858888888888889,135,1.7777777777777777,5,1,1
2022-01-01,S004,P0019,Groceries,West,359,172,125,181.25,71.2,1,Rainy,1,73.85,Spring,393,36.94,34.260000000000005,0.48117977528089895,0.943758573388203,0.4777777777777778,-2.6499999999999915,0.0,0.0,0.4365482233502538,0.4115606936416185,187,1.0916666666666666,5,1,1
2022-01-01,S004,P0020,Clothing,West,211,68,37,86.27,11.5,1,Snowy,0,9.26,Winter,125,5.96,5.54,0.4817391304347826,0.7791910163859288,0.32075471698113206,2.24,0.0,0.0,0.5396825396825397,0.16666666666666666,143,0.589622641509434,5,1,1
2022-01-01,S005,P0001,Toys,West,111,77,60,83.47,70.33,1,Cloudy,0,70.29,Winter,301,52.11,18.22,0.2590644106355751,0.9115662365336806,0.6875,0.03999999999999204,0.0,0.0,0.25496688741721857,0.9016666666666666,34,2.6875,5,1,1
2022-01-01,S005,P0002,Clothing,West,415,298,107,292.96,57.15,1,Snowy,1,60.71,Autumn,382,29.78,27.369999999999997,0.47891513560804894,1.0137433664444142,0.7163461538461539,-3.5600000000000023,0.0,0.0,0.7780678851174935,0.1911371237458194,117,0.9182692307692307,5,1,1
2022-01-01,S005,P0003,Electronics,North,384,64,26,76.02,36.17,1,Sunny,0,40.93,Spring,319,23.06,13.110000000000003,0.36245507326513693,0.8309529992209816,0.16623376623376623,-4.759999999999998,0.0,0.0,0.2,0.5564615384615385,320,0.8285714285714286,5,1,1
2022-01-01,S005,P0004,Furniture,West,436,300,174,292.04,50.77,1,Snowy,1,54.7,Spring,430,36.12,14.650000000000006,0.2885562339964547,1.0237510237510237,0.6864988558352403,-3.9299999999999997,0.0,0.0,0.6960556844547564,0.16867109634551497,136,0.9839816933638444,5,1,1
2022-01-01,S005,P0005,Clothing,West,180,21,47,38.63,92.86,1,Rainy,1,96.3,Winter,234,55.69,37.17,0.40027999138488046,0.5299015897047691,0.11602209944751381,-3.4399999999999977,0.0,0.0,0.08936170212765958,4.220909090909091,159,1.292817679558011,5,1,1
2022-01-01,S005,P0006,Groceries,North,185,176,163,174.06,60.76,1,Cloudy,0,61.15,Summer,275,42.5,18.259999999999998,0.3005266622778143,1.005369587569976,0.946236559139785,-0.39000000000000057,0.0,0.0,0.6376811594202898,0.3432768361581921,9,1.478494623655914,5,1,1
2022-01-01,S005,P0007,Clothing,South,292,131,140,122.6,46.47,1,Snowy,0,50.84,Summer,284,36.56,9.909999999999997,0.2132558639982784,1.0598705501618124,0.447098976109215,-4.3700000000000045,0.0,0.0,0.45964912280701753,0.35204545454545455,161,0.9692832764505119,5,1,1
2022-01-01,S005,P0008,Toys,West,478,317,197,328.64,34.08,1,Snowy,1,30.44,Winter,498,27.21,6.869999999999997,0.20158450704225345,0.9616551389394491,0.6617954070981211,3.639999999999997,0.0,0.0,0.6352705410821643,0.10716981132075472,161,1.0396659707724425,5,1,1
2022-01-01,S005,P0009,Groceries,West,182,97,27,92.62,87.81,1,Snowy,0,85.45,Spring,148,57.06,30.75,0.3501879057055005,1.0361033967101045,0.5300546448087432,2.3599999999999994,0.0,0.0,0.6510067114093959,0.8960204081632653,85,0.8087431693989071,5,1,1
2022-01-01,S005,P0010,Clothing,East,87,8,141,14.38,37.04,1,Rainy,1,36.87,Summer,191,26.97,10.07,0.27186825053995683,0.5201560468140441,0.09090909090909091,0.1700000000000017,0.0,0.0,0.041666666666666664,4.115555555555556,79,2.1704545454545454,5,1,1
2022-01-01,S005,P0011,Groceries,West,427,104,128,94.65,54.12,1,Rainy,1,53.03,Summer,207,37.72,16.4,0.30303030303030304,1.0872974385781495,0.24299065420560748,1.0899999999999963,0.0,0.0,0.5,0.5154285714285715,323,0.48364485981308414,5,1,1
2022-01-01,S005,P0012,Electronics,West,245,87,188,90.59,67.64,1,Sunny,0,63.53,Summer,242,52.44,15.200000000000003,0.22471910112359555,0.9498853586636096,0.35365853658536583,4.109999999999999,0.0,0.0,0.35802469135802467,0.7686363636363637,158,0.983739837398374,5,1,1
2022-01-01,S005,P0013,Furniture,South,317,238,95,256.57,82.18,1,Cloudy,0,87.09,Summer,291,64.06,18.120000000000005,0.2204916037965442,0.9240206545793377,0.7484276729559748,-4.909999999999997,0.0,0.0,0.815068493150685,0.3438493723849373,79,0.9150943396226415,5,1,1
2022-01-01,S005,P0014,Electronics,South,325,171,43,188.55,42.62,1,Cloudy,1,42.01,Autumn,274,28.68,13.939999999999998,0.32707648991083993,0.9021366394091268,0.5245398773006135,0.6099999999999994,0.0,0.0,0.6218181818181818,0.24779069767441858,154,0.8404907975460123,5,1,1
2022-01-01,S005,P0015,Furniture,West,411,250,119,260.79,11.54,1,Cloudy,0,11.27,Spring,520,6.82,4.719999999999999,0.40901213171577117,0.9549639023644906,0.6067961165048543,0.2699999999999996,0.0,0.0,0.4798464491362764,0.045976095617529876,161,1.2621359223300972,5,1,1
2022-01-01,S005,P0016,Clothing,South,71,11,32,1.85,16.3,1,Sunny,0,17.98,Winter,251,8.75,7.550000000000001,0.4631901840490798,3.8596491228070176,0.1527777777777778,-1.6799999999999997,0.0,0.0,0.04365079365079365,1.3583333333333334,60,3.486111111111111,5,1,1
