date,store_id,product_id,category,region,price,cost,static_price,dynamic_price,units_sold,static_revenue,dynamic_revenue,price_change_pct,inventory_pressure,demand_ratio,competitor_gap,seasonality,weather_condition,holiday/promotion,is_weekend
2022-01-01,S003,P0007,Electronics,North,86.99,60.19,73.9415,91.34,34,2514.011,3105.56,23.53008797495317,0.178947368,1.218201362,-3.51,Summer,Rainy,1,1
2022-01-01,S003,P0008,Toys,North,66.53,48.21,56.5505,67.86,47,2657.8735,3189.42,19.99893900142351,0.209821429,1.011187608,-3.93,Spring,Cloudy,1,1
2022-01-01,S003,P0009,Groceries,South,74.86,43.15,63.631,68.87,15,954.465,1033.0500000000002,8.233408244409178,0.039267016,0.483091787,0.93,Winter,Snowy,1,1
2022-01-01,S003,P0010,Groceries,South,97.09,53.22,92.2355,114.57,126,11621.673,14435.82,24.214646204552466,0.754491018,0.88520444,1.29,Summer,Rainy,1,1
2022-01-01,S003,P0011,Toys,East,56.19,40.43,56.19,67.99,232,13036.08,15773.679999999998,21.00017796760989,0.791808874,0.954653938,-1.66,Winter,Snowy,1,1
2022-01-01,S003,P0012,Electronics,North,90.38,59.43,72.304,101.23,175,12653.2,17715.25,40.006085417127686,0.560897436,0.984528833,0.86,Summer,Cloudy,0,1
2022-01-01,S003,P0013,Furniture,North,73.98,56.71,59.184,88.04,17,1006.1279999999999,1496.68,48.756420654230894,0.326923077,1.226551227,-2.67,Summer,Cloudy,1,1
2022-01-01,S003,P0014,Electronics,South,79.03,41.14,75.0785,85.35,369,27703.966500000002,31494.149999999998,13.681013872147139,0.92481203,0.948878832,-3.48,Spring,Rainy,0,1
2022-01-01,S003,P0015,Clothing,West,27.72,21.81,26.334,28.83,260,6846.84,7495.799999999999,9.47824105718842,0.582959641,0.972471574,4.44,Autumn,Snowy,0,1
2022-01-01,S003,P0016,Groceries,South,98.18,58.02,83.453,112.91,347,28958.191000000003,39179.77,35.29771248487171,0.711065574,0.990409864,-1.4,Winter,Rainy,0,1
2022-01-01,S003,P0017,Clothing,East,27.1,19.2,25.745,28.73,150,3861.75,4309.5,11.594484365896287,0.348837209,0.944465433,-0.3,Spring,Cloudy,1,1
2022-01-01,S003,P0018,Toys,West,97.08,49.43,82.518,103.88,70,5776.26,7271.599999999999,25.88768511112726,0.341463415,0.833234139,2.2,Winter,Snowy,1,1
2022-01-01,S003,P0019,Clothing,East,26.71,13.42,22.7035,33.39,249,5653.1714999999995,8314.11,47.069835047459655,0.752265861,0.924791086,1.9,Summer,Cloudy,1,1
2022-01-01,S003,P0020,Electronics,North,95.85,74.04,76.68,116.94,370,28371.600000000002,43267.799999999996,52.50391236306727,0.856481481,0.952209383,0.15,Spring,Cloudy,1,1
2022-01-01,S004,P0001,Toys,South,15.62,9.72,13.277,17.81,271,3598.067,4826.509999999999,34.14174888905626,0.566945607,0.942117156,-0.47,Winter,Sunny,0,1
2022-01-01,S004,P0002,Clothing,North,41.13,21.98,39.0735,40.31,180,7033.2300000000005,7255.8,3.164548863040166,0.388768898,1.016604541,-3.92,Autumn,Sunny,0,1
2022-01-01,S004,P0003,Clothing,West,89.32,64.63,71.456,95.57,344,24580.864,32876.079999999994,33.74664128974472,0.769574944,0.971943605,-3.68,Autumn,Cloudy,0,1
2022-01-01,S004,P0004,Groceries,West,87.23,50.31,78.507,69.78,0,0.0,0.0,-11.116206198173415,0.0,0.0,-3.13,Spring,Sunny,0,1
2022-01-01,S004,P0005,Groceries,North,81.72,64.53,81.72,83.35,200,16344.0,16670.0,1.9946157611355795,0.502512563,1.012299438,-3.5,Spring,Snowy,1,1
2022-01-01,S004,P0006,Electronics,East,41.35,26.04,37.215,49.62,382,14216.130000000001,18954.84,33.333333333333314,0.81104034,0.961248113,1.49,Summer,Snowy,0,1
2022-01-01,S004,P0007,Electronics,West,67.26,34.48,53.808,80.04,190,10223.52,15207.6,48.75111507582517,0.716981132,0.957420005,2.48,Summer,Cloudy,0,1
2022-01-01,S004,P0008,Furniture,South,85.88,53.5,68.704,94.47,51,3503.9039999999995,4817.97,37.5029110386586,0.203187251,0.911039657,-0.26,Winter,Snowy,1,1
2022-01-01,S004,P0009,Furniture,North,59.23,38.55,53.307,69.89,40,2132.28,2795.6,31.108484814377096,0.625,0.757862827,-1.87,Summer,Rainy,1,1
2022-01-01,S004,P0010,Groceries,East,33.48,21.64,28.458,32.48,104,2959.6319999999996,3377.9199999999996,14.133108440508815,0.232142857,0.896319917,-3.67,Summer,Cloudy,0,1
2022-01-01,S004,P0011,Electronics,West,54.84,42.33,54.84,59.23,46,2522.6400000000003,2724.58,8.005105762217347,0.223300971,0.965372508,-2.92,Spring,Sunny,1,1
2022-01-01,S004,P0012,Electronics,North,14.25,10.92,13.5375,13.96,9,121.83749999999999,125.64000000000001,3.1209602954755398,0.025714286,4.615384615,-4.31,Spring,Rainy,1,1
2022-01-01,S004,P0013,Furniture,East,61.81,46.22,61.81,63.05,56,3461.36,3530.7999999999997,2.00614787251253,0.291666667,1.009554714,-2.11,Autumn,Sunny,0,1
2022-01-01,S004,P0014,Electronics,West,66.94,35.26,60.246,64.93,63,3795.498,4090.5900000000006,7.774790027553704,0.154791155,0.890711155,-1.53,Winter,Snowy,1,1
2022-01-01,S004,P0015,Clothing,South,60.54,47.34,57.513,64.78,181,10409.853,11725.18,12.635404169492121,0.790393013,1.046484736,-4.73,Autumn,Cloudy,0,1
2022-01-01,S004,P0016,Groceries,South,94.26,55.0,80.121,98.03,94,7531.374,9214.82,22.352441931578497,0.356060606,0.949015649,-2.48,Summer,Rainy,0,1
2022-01-01,S004,P0017,Electronics,South,25.55,13.15,25.55,25.81,46,1175.3,1187.26,1.0176125244618317,0.225490196,0.819672131,-2.52,Winter,Rainy,0,1
2022-01-01,S004,P0018,Groceries,West,16.73,13.37,15.8935,15.39,8,127.148,123.12,-3.1679617453675966,0.055555556,0.282685512,-2.06,Spring,Cloudy,1,1
2022-01-01,S004,P0019,Groceries,West,71.2,36.94,60.52,75.47,172,10409.44,12980.84,24.702577660277587,0.477777778,0.943758573,-2.65,Spring,Rainy,1,1
2022-01-01,S004,P0020,Clothing,West,11.5,5.96,9.2,11.16,68,625.5999999999999,758.88,21.304347826086968,0.320754717,0.779191016,2.24,Winter,Snowy,0,1
2022-01-01,S005,P0001,Toys,West,70.33,52.11,63.297,83.69,77,4873.869,6444.13,32.21795661721725,0.6875,0.911566237,0.04,Winter,Cloudy,0,1
2022-01-01,S005,P0002,Clothing,West,57.15,29.78,54.2925,62.29,298,16179.164999999999,18562.42,14.730395542662436,0.716346154,1.013743366,-3.56,Autumn,Snowy,1,1
2022-01-01,S005,P0003,Electronics,North,36.17,23.06,34.3615,32.19,64,2199.136,2060.16,-6.3195727776726915,0.166233766,0.830952999,-4.76,Spring,Sunny,0,1
2022-01-01,S005,P0004,Furniture,West,50.77,36.12,43.1545,55.34,300,12946.35,16602.0,28.236916196456928,0.686498856,1.023751024,-3.93,Spring,Snowy,1,1
2022-01-01,S005,P0005,Clothing,West,92.86,55.69,78.931,85.43,21,1657.551,1794.0300000000002,8.23377380243505,0.116022099,0.52990159,-3.44,Winter,Rainy,1,1
2022-01-01,S005,P0006,Groceries,North,60.76,42.5,48.608,75.34,176,8555.008,13259.84,54.995062541145515,0.946236559,1.005369588,-0.39,Summer,Cloudy,0,1
2022-01-01,S005,P0007,Clothing,South,46.47,36.56,39.4995,48.33,131,5174.434499999999,6331.23,22.355979189609997,0.447098976,1.05987055,-4.37,Summer,Snowy,0,1
2022-01-01,S005,P0008,Toys,West,34.08,27.21,32.376,42.6,317,10263.192,13504.2,31.57894736842107,0.661795407,0.961655139,3.64,Winter,Snowy,1,1
2022-01-01,S005,P0009,Groceries,West,87.81,57.06,83.4195,87.81,97,8091.6915,8517.57,5.263157894736846,0.530054645,1.036103397,2.36,Spring,Snowy,0,1
2022-01-01,S005,P0010,Clothing,East,37.04,26.97,33.336,35.56,8,266.688,284.48,6.671466282697396,0.090909091,0.520156047,0.17,Summer,Rainy,1,1
2022-01-01,S005,P0011,Groceries,West,54.12,37.72,48.708,57.37,104,5065.632,5966.48,17.783526320111683,0.242990654,1.087297439,1.09,Summer,Rainy,1,1
2022-01-01,S005,P0012,Electronics,West,67.64,52.44,57.494,77.11,87,5001.978,6708.57,34.118342783594805,0.353658537,0.949885359,4.11,Summer,Sunny,0,1
2022-01-01,S005,P0013,Furniture,South,82.18,64.06,78.071,94.51,238,18580.898,22493.38,21.056474234991235,0.748427673,0.924020655,-4.91,Summer,Cloudy,0,1
2022-01-01,S005,P0014,Electronics,South,42.62,28.68,34.096,46.88,171,5830.415999999999,8016.4800000000005,37.49413420929144,0.524539877,0.902136639,0.61,Autumn,Cloudy,1,1
2022-01-01,S005,P0015,Furniture,West,11.54,6.82,10.386,12.81,250,2596.5,3202.5,23.339110340843458,0.606796117,0.954963902,0.27,Spring,Cloudy,0,1
2022-01-01,S005,P0016,Clothing,South,16.3,8.75,15.485,18.58,11,170.33499999999998,204.38,19.987084275104934,0.152777778,3.859649123,-1.68,Winter,Sunny,0,1
2022-01-01,S005,P0017,Electronics,East,98.31,59.69,83.5635,117.97,371,31002.058500000003,43766.87,41.17407719877697,0.953727506,0.948752046,-4.11,Spring,Sunny,1,1
2022-01-01,S005,P0018,Furniture,West,48.96,34.71,44.064,55.32,107,4714.848,5919.24,25.544662309368192,0.660493827,1.019338859,-1.07,Spring,Snowy,1,1
2022-01-01,S005,P0019,Groceries,South,88.22,54.67,83.809,85.57,106,8883.753999999999,9070.42,2.1012063143576416,0.449152542,0.880910829,-2.94,Spring,Rainy,0,1
2022-01-01,S005,P0020,Electronics,South,11.04,5.59,9.936,13.03,101,1003.536,1316.03,31.139291465378417,0.926605505,0.9446315,1.9,Autumn,Snowy,1,1
2022-01-02,S001,P0001,Groceries,West,27.95,18.98,25.155,30.19,81,2037.555,2445.3900000000003,20.015901411250248,0.692307692,0.862252502,-2.94,Spring,Cloudy,0,1
2022-01-02,S001,P0002,Clothing,West,19.78,12.33,16.813,19.78,163,2740.519,3224.1400000000003,17.647058823529427,0.39088729,0.94438007,1.02,Spring,Cloudy,0,1
2022-01-02,S001,P0003,Clothing,South,70.99,40.88,63.891,85.19,464,29645.424,39528.159999999996,33.3364636646789,0.948875256,0.999741446,-1.94,Summer,Snowy,0,1
2022-01-02,S001,P0004,Groceries,East,49.56,29.88,47.082,50.06,116,5461.512,5806.96,6.325134871075997,0.465863454,0.859768752,-0.9,Summer,Snowy,0,1
2022-01-02,S001,P0005,Electronics,East,23.76,16.82,20.196,30.89,200,4039.2000000000003,6178.0,52.95107942166764,0.836820084,0.974184121,4.57,Summer,Sunny,1,1
2022-01-02,S001,P0006,Furniture,East,47.56,24.3,47.56,49.94,58,2758.48,2896.52,5.004205214465928,0.122881356,1.10329085,0.74,Summer,Snowy,1,1
2022-01-02,S001,P0007,Electronics,North,17.1,10.56,16.245,16.76,56,909.72,938.5600000000001,3.170206217297633,0.312849162,0.913539967,0.1,Autumn,Snowy,1,1
2022-01-02,S001,P0008,Clothing,East,58.89,30.8,55.9455,65.37,74,4139.967000000001,4837.38,16.845858916266724,0.795698925,1.087595532,-2.67,Autumn,Cloudy,0,1
2022-01-02,S001,P0009,Toys,South,99.76,71.25,79.808,104.75,54,4309.6320000000005,5656.5,31.252506014434633,0.54,0.754189944,4.15,Spring,Cloudy,0,1
2022-01-02,S001,P0010,Clothing,North,11.44,9.13,10.868,12.24,39,423.85200000000003,477.36,12.62421788737578,0.226744186,0.799180328,-1.27,Summer,Sunny,0,1
2022-01-02,S001,P0011,Furniture,East,53.84,32.98,53.84,49.53,12,646.08,594.36,-8.005200594353644,0.055555556,0.669642857,0.05,Spring,Cloudy,1,1
2022-01-02,S001,P0012,Furniture,East,57.84,43.81,54.948,56.1,56,3077.088,3141.6,2.096527626119242,0.19858156,0.780923163,-3.15,Summer,Snowy,1,1
2022-01-02,S001,P0013,Toys,North,35.51,27.03,30.1835,32.67,31,935.6885,1012.7700000000001,8.237944572365707,0.067982456,0.68191817,4.45,Autumn,Cloudy,1,1
2022-01-02,S001,P0014,Electronics,West,31.41,22.42,31.41,33.29,25,785.25,832.25,5.98535498248965,0.294117647,1.026272578,2.81,Spring,Cloudy,1,1
2022-01-02,S001,P0015,Electronics,East,28.06,15.03,22.448,36.48,198,4444.704,7223.039999999999,62.508909479686366,0.801619433,0.969495177,-2.23,Winter,Cloudy,1,1
2022-01-02,S001,P0016,Electronics,West,35.67,25.9,30.3195,36.74,77,2334.6015,2828.98,21.176140767492868,0.1925,1.123267688,-2.35,Summer,Snowy,0,1
2022-01-02,S001,P0017,Furniture,West,28.18,17.67,26.771,31.28,165,4417.215,5161.2,16.842852340218894,0.679012346,0.902329651,0.68,Autumn,Cloudy,0,1
2022-01-02,S001,P0018,Toys,North,74.42,53.91,70.699,70.7,42,2969.3579999999997,2969.4,0.0014144471633329677,0.087682672,0.747863248,4.75,Summer,Snowy,0,1
2022-01-02,S001,P0019,Furniture,South,91.95,54.4,87.3525,84.59,8,698.82,676.72,-3.162473884548241,0.050955414,0.314836678,4.52,Spring,Cloudy,1,1
2022-01-02,S001,P0020,Electronics,North,97.88,76.44,97.88,104.73,174,17031.12,18223.02,6.99836534532081,0.783783784,0.923125895,-1.62,Autumn,Snowy,0,1
2022-01-02,S002,P0001,Electronics,West,66.57,34.44,53.256,83.88,343,18266.808,28770.84,57.50337990085623,0.851116625,1.008704858,2.65,Summer,Rainy,1,1
2022-01-02,S002,P0002,Furniture,West,90.36,71.36,85.842,98.49,71,6094.782,6992.79,14.734046271056123,0.533834586,0.850910834,3.63,Winter,Rainy,0,1
2022-01-02,S002,P0003,Groceries,West,92.24,55.5,87.628,104.23,157,13757.596,16364.11,18.94599899575479,0.716894977,1.01670768,2.67,Autumn,Snowy,1,1
2022-01-02,S002,P0004,Groceries,South,68.71,38.42,68.71,71.46,88,6046.48,6288.48,4.002328627565129,0.666666667,0.866056491,-0.63,Spring,Snowy,0,1
2022-01-02,S002,P0005,Groceries,North,87.22,59.23,82.859,98.56,64,5302.976,6307.84,18.949058038354323,0.680851064,1.093456347,-3.37,Spring,Cloudy,1,1
2022-01-02,S002,P0006,Groceries,East,79.38,52.19,79.38,84.94,273,21670.739999999998,23188.62,7.004283194759388,0.791304348,0.995986866,2.1,Autumn,Rainy,0,1
2022-01-02,S002,P0007,Groceries,North,17.41,13.21,14.7985,20.72,247,3655.2295000000004,5117.84,40.01419062742844,0.724340176,0.931442794,3.84,Summer,Snowy,0,1
2022-01-02,S002,P0008,Electronics,North,14.8,10.96,12.58,14.06,42,528.36,590.52,11.764705882352946,0.173553719,0.887573964,0.86,Spring,Sunny,1,1
2022-01-02,S002,P0009,Electronics,North,30.5,20.56,30.5,34.47,197,6008.5,6790.59,13.016393442622947,0.663299663,1.001983622,1.64,Spring,Sunny,0,1
2022-01-02,S002,P0010,Groceries,West,27.84,17.8,23.664,31.46,374,8850.336000000001,11766.04,32.9445571331981,0.790697674,0.962900028,-4.16,Spring,Cloudy,1,1
2022-01-02,S002,P0011,Furniture,East,88.62,70.85,88.62,99.25,154,13647.480000000001,15284.5,11.995034980816966,0.498381877,0.905190149,2.32,Winter,Cloudy,0,1
2022-01-02,S002,P0012,Toys,North,82.35,46.61,65.88,82.35,236,15547.679999999998,19434.6,25.0,0.542528736,0.982964722,-0.78,Autumn,Rainy,0,1
2022-01-02,S002,P0013,Toys,North,92.57,68.86,83.313,118.49,278,23161.014,32940.22,42.2227023393708,0.965277778,0.98964081,-4.52,Summer,Sunny,1,1
2022-01-02,S002,P0014,Furniture,West,94.38,56.56,89.661,85.89,27,2420.847,2319.03,-4.205842004885068,0.141361257,0.830003074,4.91,Autumn,Rainy,0,1
2022-01-02,S002,P0015,Toys,North,70.59,45.87,70.59,77.65,106,7482.54,8230.900000000001,10.001416631250889,0.299435028,0.950757916,-4.68,Winter,Cloudy,1,1
2022-01-02,S002,P0016,Toys,West,63.13,32.52,56.817,68.81,154,8749.818,10596.74,21.10811904887622,0.72985782,0.917595186,-4.1,Autumn,Sunny,0,1
2022-01-02,S002,P0017,Clothing,West,46.04,25.62,43.738,56.17,176,7697.888,9885.92,28.42379624125475,0.907216495,1.002906148,4.64,Autumn,Rainy,1,1
2022-01-02,S002,P0018,Groceries,East,21.07,12.31,18.963,24.86,124,2351.4120000000003,3082.64,31.097400200390226,0.992,1.059376335,-0.64,Autumn,Sunny,0,1
2022-01-02,S002,P0019,Toys,East,79.11,43.67,79.11,98.1,479,37893.69,46989.899999999994,24.00455062571103,0.971602434,1.017546841,-0.95,Winter,Cloudy,0,1
2022-01-02,S002,P0020,Clothing,South,64.99,34.58,64.99,75.39,78,5069.219999999999,5880.42,16.002461917218046,0.349775785,1.005802708,-0.41,Summer,Sunny,1,1
2022-01-02,S003,P0001,Toys,West,73.48,52.85,66.132,74.21,114,7539.048000000001,8459.939999999999,12.21496401137118,0.410071942,0.854508658,0.93,Autumn,Cloudy,0,1
2022-01-02,S003,P0002,Groceries,East,87.5,60.79,87.5,66.87,2,175.0,133.74,-23.577142857142853,0.011363636,-0.833333333,-3.7,Autumn,Rainy,0,1
2022-01-02,S003,P0003,Toys,East,88.68,59.91,70.944,81.59,7,496.608,571.13,15.00620207487596,0.044303797,0.294117647,1.3,Autumn,Cloudy,1,1
2022-01-02,S003,P0004,Furniture,West,82.36,50.49,65.888,79.07,54,3557.952,4269.78,20.006677999028636,0.446280992,1.066350711,-3.49,Autumn,Snowy,0,1
2022-01-02,S003,P0005,Furniture,East,38.56,19.59,36.632,45.89,282,10330.224,12940.98,25.272985367984287,0.75,0.944976878,1.99,Winter,Cloudy,0,1
2022-01-02,S003,P0006,Groceries,East,97.74,56.36,97.74,98.72,93,9089.82,9180.96,1.0026601186822222,0.306930693,0.86447295,0.05,Winter,Cloudy,0,1
2022-01-02,S003,P0007,Electronics,West,37.68,23.64,32.028,36.17,85,2722.38,3074.4500000000003,12.932434120144883,0.22606383,0.984822153,0.96,Autumn,Cloudy,0,1
2022-01-02,S003,P0008,Clothing,South,36.03,24.25,34.2285,36.03,136,4655.075999999999,4900.08,5.263157894736855,0.546184739,1.03406326,-1.46,Spring,Rainy,0,1
2022-01-02,S003,P0009,Electronics,West,88.97,58.19,88.97,100.54,140,12455.8,14075.6,13.004383500056207,0.636363636,0.996725046,-2.56,Spring,Snowy,1,1
2022-01-02,S003,P0010,Furniture,West,16.48,9.94,14.832,16.97,79,1171.728,1340.6299999999999,14.414778856526416,0.537414966,0.829570513,-4.94,Spring,Cloudy,1,1
2022-01-02,S003,P0011,Furniture,South,58.37,31.21,52.533,62.46,106,5568.4980000000005,6620.76,18.896693506938494,0.484018265,0.893383902,0.27,Autumn,Cloudy,1,1
2022-01-02,S003,P0012,Groceries,West,27.86,15.11,26.467,24.52,1,26.467,24.52,-7.356330524804471,0.003831418,0.334448161,-3.92,Winter,Snowy,1,1
2022-01-02,S003,P0013,Electronics,West,39.14,28.28,37.183,41.49,203,7548.149,8422.470000000001,11.583250410133669,0.489156627,0.979020979,3.84,Autumn,Rainy,1,1
2022-01-02,S003,P0014,Toys,North,66.51,39.23,66.51,74.49,368,24475.68,27412.32,11.998195760036069,0.874109264,0.954678704,-4.33,Spring,Cloudy,0,1
2022-01-02,S003,P0015,Electronics,East,89.65,66.35,71.72,106.68,286,20511.92,30510.480000000003,48.745119910764096,0.655963303,1.006156552,4.66,Winter,Snowy,0,1
