date,store_id,product_id,category,price,cost,discounted_price,ml_price,units_sold,static_revenue,ml_revenue,ml_pred_demand,residual
2023-08-08,S004,P0015,0,23.75,15.33,20.1875,29.69,31,625.8125,920.39,31.246237,-0.04851531982421875
2023-08-08,S005,P0007,0,52.9,29.08,42.32,66.12,36,1523.52,2380.32,36.22743,-0.2632942199707031
2023-08-08,S004,P0017,2,95.62,51.26,76.496,119.52,63,4819.248,7529.759999999999,63.014637,-1.1402587890625
2023-08-08,S003,P0012,1,34.46,20.9,32.737,43.08,198,6481.926,8529.84,198.76808,0.897369384765625
2023-08-08,S005,P0019,4,47.6,34.65,38.08,59.5,121,4607.679999999999,7199.5,121.67629,-0.1832733154296875
2023-08-08,S005,P0018,0,92.15,68.88,78.3275,115.19,209,16370.4475,24074.71,208.31248,0.7693023681640625
2023-08-08,S005,P0017,3,28.28,21.35,22.624,35.35,181,4094.944,6398.35,180.71832,-0.24603271484375
2023-08-08,S005,P0016,1,26.65,14.31,26.65,33.31,14,373.09999999999997,466.34000000000003,14.304763,0.13111209869384766
2023-08-08,S005,P0015,0,33.56,23.44,26.848,41.95,192,5154.816,8054.400000000001,191.3809,0.78765869140625
2023-08-08,S005,P0014,0,57.63,41.74,57.63,72.04,59,3400.17,4250.360000000001,58.779964,-0.2910499572753906
2023-08-08,S005,P0013,2,50.43,25.36,42.8655,63.04,228,9773.333999999999,14373.119999999999,227.25159,0.9029998779296875
2023-08-08,S005,P0012,3,27.04,20.34,25.688,33.8,39,1001.832,1318.1999999999998,39.688156,0.3439178466796875
2023-08-08,S005,P0011,0,73.72,45.9,66.348,92.15,116,7696.3679999999995,10689.400000000001,116.70059,-0.7168350219726562
2023-08-08,S004,P0016,3,80.92,55.16,80.92,101.15,80,6473.6,8092.0,79.92912,-0.3646240234375
2023-08-08,S005,P0010,0,23.18,15.04,20.862,28.98,62,1293.444,1796.76,61.63391,0.45104217529296875
2023-08-08,S005,P0008,1,69.77,50.86,59.3045,87.21,445,26390.5025,38808.45,448.88663,-4.1474609375
2023-08-08,S005,P0006,4,86.92,60.34,82.574,108.65,11,908.314,1195.15,10.809725,0.06911468505859375
2023-08-08,S005,P0005,3,89.94,55.69,89.94,112.42,384,34536.96,43169.28,384.52573,0.960174560546875
2023-08-08,S005,P0004,1,98.94,78.0,84.099,123.68,36,3027.5640000000003,4452.4800000000005,36.060757,0.4368438720703125
2023-08-08,S005,P0003,0,35.44,18.17,28.352,44.3,199,5642.048,8815.699999999999,198.55606,1.15496826171875
2023-08-08,S005,P0002,0,21.35,14.71,19.215,26.69,274,5264.91,7313.06,275.57492,-2.43231201171875
2023-08-08,S005,P0001,3,35.03,21.2,29.7755,43.79,79,2352.2645,3459.41,79.340164,-0.44417572021484375
2023-08-08,S004,P0020,3,70.14,45.45,66.633,87.68,275,18324.074999999997,24112.000000000004,276.4732,-1.990997314453125
2023-08-08,S004,P0019,4,78.39,41.28,62.712,97.99,144,9030.528,14110.56,143.31181,0.9262847900390625
2023-08-08,S004,P0018,4,46.32,32.12,46.32,57.9,148,6855.36,8569.199999999999,147.83989,0.0363922119140625
2023-08-08,S005,P0009,0,89.56,70.55,76.126,111.95,82,6242.332,9179.9,82.071075,-0.054046630859375
2023-08-08,S003,P0011,3,68.66,49.54,68.66,85.82,305,20941.3,26175.1,305.69952,-0.501312255859375
2023-08-08,S004,P0003,0,17.2,8.67,14.62,21.5,100,1462.0,2150.0,99.430664,-0.2124786376953125
2023-08-08,S003,P0009,2,66.8,45.3,56.78,83.5,18,1022.04,1503.0,18.925123,-0.9983882904052734
2023-08-08,S002,P0002,1,81.97,52.5,81.97,102.46,56,4590.32,5737.759999999999,55.96971,0.6263504028320312
2023-08-08,S002,P0001,4,88.52,57.89,70.816,110.65,227,16075.232,25117.550000000003,226.31572,0.6445465087890625
2023-08-08,S001,P0020,3,86.32,53.83,73.372,107.9,14,1027.208,1510.6000000000001,14.319585,-0.11160850524902344
2023-08-08,S001,P0019,3,71.87,39.07,61.0895,89.84,191,11668.094500000001,17159.440000000002,191.06201,0.0979766845703125
2023-08-08,S001,P0018,2,21.2,10.68,18.02,26.5,184,3315.68,4876.0,183.91325,0.17254638671875
2023-08-08,S001,P0017,2,87.7,60.86,70.16,109.62,106,7436.96,11619.720000000001,106.66559,0.28760528564453125
2023-08-08,S001,P0016,4,54.18,30.63,54.18,67.72,33,1787.94,2234.7599999999998,32.746223,0.16380691528320312
2023-08-08,S001,P0015,0,77.83,47.49,62.264,97.29,89,5541.496,8658.810000000001,89.24722,-0.40741729736328125
2023-08-08,S001,P0014,4,78.62,43.11,70.758,98.28,122,8632.475999999999,11990.16,122.452484,0.061737060546875
2023-08-08,S001,P0013,4,10.43,8.03,9.387,13.04,331,3107.097,4316.24,331.45697,-1.05242919921875
2023-08-08,S002,P0003,3,61.72,48.65,49.376,77.15,198,9776.448,15275.7,197.6928,0.4746856689453125
2023-08-08,S001,P0012,2,20.65,14.08,16.52,25.81,68,1123.36,1755.08,67.60649,0.8323287963867188
2023-08-08,S001,P0010,3,29.78,17.15,23.824,37.22,420,10006.08,15632.4,420.20917,1.11785888671875
2023-08-08,S001,P0009,4,39.53,31.23,33.6005,49.41,76,2553.638,3755.16,76.1116,-0.05762481689453125
2023-08-08,S001,P0008,0,74.51,52.53,70.7845,93.14,259,18333.1855,24123.26,258.6501,0.251922607421875
2023-08-08,S001,P0007,0,36.87,27.3,33.183,46.09,47,1559.6009999999999,2166.23,46.821125,0.5350723266601562
2023-08-08,S001,P0006,2,86.49,60.89,86.49,108.11,108,9340.92,11675.88,108.20026,0.30744171142578125
2023-08-08,S001,P0005,1,20.87,13.7,18.783,26.09,23,432.009,600.07,23.143038,-0.5185642242431641
2023-08-08,S001,P0004,4,10.8,6.4,10.26,13.5,27,277.02,364.5,26.560188,0.014898300170898438
2023-08-08,S001,P0003,1,97.47,75.24,87.723,121.84,179,15702.417,21809.36,178.44003,0.5412139892578125
2023-08-08,S001,P0002,2,52.94,37.98,50.293,66.18,239,12020.027,15817.020000000002,240.06348,-0.9398040771484375
2023-08-08,S001,P0001,3,61.35,41.48,49.08,76.69,335,16441.8,25691.149999999998,337.71994,-2.417144775390625
2023-08-08,S001,P0011,0,55.86,44.21,53.067,69.82,27,1432.809,1885.1399999999999,27.265236,-0.31346702575683594
2023-08-08,S002,P0004,4,60.03,46.31,51.0255,75.04,164,8368.182,12306.560000000001,163.93173,0.4588470458984375
2023-08-08,S003,P0010,3,19.16,14.42,18.202,23.95,102,1856.6040000000003,2442.9,102.048965,0.27886962890625
2023-08-08,S002,P0006,0,13.35,8.82,13.35,16.69,304,4058.4,5073.76,304.39917,-1.00701904296875
2023-08-08,S003,P0008,4,64.71,49.45,51.768,80.89,62,3209.616,5015.18,62.407646,0.3379631042480469
2023-08-08,S003,P0007,4,45.81,32.38,38.9385,57.26,102,3971.727,5840.5199999999995,102.51699,-0.18984222412109375
2023-08-08,S003,P0006,2,37.44,24.59,33.696,46.8,219,7379.424,10249.199999999999,218.67764,0.4820098876953125
2023-08-08,S003,P0005,1,69.18,54.11,69.18,86.48,100,6918.000000000001,8648.0,99.734665,-0.44684600830078125
2023-08-08,S003,P0004,1,77.81,57.87,66.1385,97.26,307,20304.5195,29858.820000000003,308.41885,-0.80548095703125
2023-08-08,S003,P0003,3,18.29,12.88,14.632,22.86,195,2853.24,4457.7,195.22766,0.599761962890625
2023-08-08,S003,P0002,1,82.34,49.13,78.223,102.93,159,12437.457,16365.87,159.24506,-0.5261993408203125
2023-08-08,S003,P0001,1,88.51,62.82,79.659,110.64,141,11231.919000000002,15600.24,140.20995,0.91668701171875
2023-08-08,S002,P0020,4,21.2,15.43,21.2,26.5,274,5808.8,7261.0,272.9797,0.96124267578125
2023-08-08,S002,P0019,1,59.54,38.99,59.54,74.42,82,4882.28,6102.4400000000005,82.16835,0.20156097412109375
2023-08-08,S002,P0018,1,52.46,33.52,49.837,65.58,28,1395.4360000000001,1836.24,28.636404,-0.25035858154296875
2023-08-08,S002,P0005,4,25.39,18.76,21.5815,31.74,91,1963.9164999999998,2888.3399999999997,91.33682,0.2247314453125
2023-08-08,S002,P0016,2,54.43,29.21,51.7085,68.04,59,3050.8015,4014.3600000000006,58.66903,0.4340019226074219
2023-08-08,S002,P0015,2,49.61,25.72,42.1685,62.01,12,506.02200000000005,744.12,12.276175,-0.13500499725341797
2023-08-08,S002,P0014,3,83.29,58.84,74.961,104.11,281,21064.041,29254.91,280.77097,-0.27056884765625
2023-08-08,S002,P0013,4,44.15,32.45,35.32,55.19,356,12573.92,19647.64,359.1581,-1.422821044921875
2023-08-08,S002,P0012,3,65.8,42.12,65.8,82.25,122,8027.599999999999,10034.5,121.537346,0.158660888671875
2023-08-08,S002,P0011,1,40.66,25.81,40.66,50.82,188,7644.079999999999,9554.16,187.11816,0.9223175048828125
2023-08-08,S002,P0010,1,79.24,54.78,79.24,99.05,63,4992.12,6240.15,63.11511,-0.7327499389648438
2023-08-08,S002,P0009,1,95.99,67.78,81.5915,119.99,12,979.098,1439.8799999999999,11.825266,-0.14775562286376953
2023-08-08,S002,P0008,4,30.89,17.96,24.712,38.61,57,1408.584,2200.77,57.233524,-0.11392974853515625
2023-08-08,S002,P0007,0,12.59,8.38,11.331,15.74,23,260.613,362.02,23.043705,-0.6095657348632812
2023-08-08,S002,P0017,3,37.4,28.6,33.66,46.75,36,1211.7599999999998,1683.0,36.06585,0.0910186767578125
2023-08-09,S004,P0006,4,32.29,19.04,29.061,40.36,67,1947.087,2704.12,66.850746,-0.31897735595703125
2023-08-09,S004,P0007,1,45.07,28.93,38.3095,56.34,32,1225.904,1802.88,31.767815,0.5077972412109375
2023-08-09,S004,P0008,0,51.17,31.4,46.053,63.96,87,4006.611,5564.52,86.48406,0.7131423950195312
2023-08-09,S004,P0013,0,15.16,11.35,12.128,18.95,313,3796.064,5931.349999999999,313.49716,0.439361572265625
2023-08-09,S004,P0010,4,40.0,28.18,32.0,50.0,71,2272.0,3550.0,70.83826,0.6283493041992188
2023-08-09,S004,P0011,4,99.22,75.49,89.298,124.02,35,3125.4300000000003,4340.7,35.299614,-0.05098724365234375
2023-08-09,S004,P0012,2,15.35,9.73,13.0475,19.19,5,65.2375,95.95,5.073181,-0.09864187240600586
2023-08-09,S004,P0005,3,52.01,29.62,46.809,65.01,257,12029.912999999999,16707.57,256.01276,1.2531280517578125
2023-08-09,S004,P0009,3,53.01,36.19,50.3595,66.26,49,2467.6155,3246.7400000000002,49.717426,-0.7092132568359375
2023-08-09,S004,P0004,1,66.04,48.08,52.832,82.55,39,2060.448,3219.45,39.132374,-0.37348175048828125
2023-08-09,S003,P0018,0,82.01,45.99,73.809,102.51,240,17714.16,24602.4,240.10791,0.03887939453125
2023-08-09,S004,P0002,0,69.6,48.87,69.6,87.0,335,23315.999999999996,29145.0,336.44473,-2.487274169921875
2023-08-09,S004,P0001,4,50.57,35.44,40.456,63.21,304,12298.624000000002,19215.84,303.61627,1.227294921875
2023-08-09,S003,P0020,2,32.5,19.2,27.625,40.62,101,2790.125,4102.62,101.763016,-0.06514739990234375
2023-08-09,S003,P0019,2,12.7,9.01,12.7,15.88,183,2324.1,2906.04,182.65369,0.717620849609375
2023-08-09,S003,P0017,2,76.68,58.96,72.846,95.85,202,14714.892,19361.699999999997,202.53812,-0.5782318115234375
2023-08-09,S003,P0016,1,25.07,14.07,22.563,31.34,164,3700.332,5139.76,164.29677,0.5052032470703125
2023-08-09,S003,P0015,2,89.82,70.74,89.82,112.28,236,21197.519999999997,26498.08,234.76126,0.7453155517578125
2023-08-09,S003,P0014,4,81.8,63.86,69.53,102.25,273,18981.69,27914.25,273.04974,0.511688232421875
2023-08-09,S003,P0013,4,66.56,46.42,59.904,83.2,134,8027.136,11148.800000000001,134.3665,-0.3318023681640625
2023-08-09,S004,P0014,0,33.24,18.15,26.592,41.55,56,1489.152,2326.7999999999997,56.083565,0.08031845092773438
2023-08-09,S004,P0003,4,48.43,26.71,38.744,60.54,241,9337.304,14590.14,240.66862,0.80865478515625
2023-08-09,S004,P0015,3,48.63,37.98,38.904,60.79,84,3267.936,5106.36,84.34234,-0.11956787109375
2023-08-09,S005,P0007,4,77.43,52.5,73.5585,96.79,13,956.2605,1258.27,12.608402,0.41266918182373047
2023-08-09,S004,P0017,2,81.96,50.08,65.568,102.45,330,21637.44,33808.5,329.12552,0.81378173828125
2023-08-09,S005,P0019,0,55.31,29.59,52.5445,69.14,426,22383.957,29453.64,425.62982,1.411163330078125
2023-08-09,S005,P0018,4,46.96,27.61,42.264,58.7,256,10819.584,15027.2,257.0714,-0.18536376953125
2023-08-09,S005,P0017,1,50.15,28.85,50.15,62.69,98,4914.7,6143.62,97.15302,0.7204742431640625
2023-08-09,S005,P0016,1,78.28,61.0,62.624,97.85,210,13151.04,20548.5,210.36697,-0.613250732421875
2023-08-09,S005,P0015,0,52.27,37.33,47.043,65.34,117,5504.031,7644.780000000001,116.90143,0.652435302734375
2023-08-09,S005,P0014,4,95.36,52.8,85.824,119.2,313,26862.912,37309.6,312.16763,0.32330322265625
2023-08-09,S005,P0013,0,16.64,10.13,16.64,20.8,8,133.12,166.4,8.750422,-0.7631540298461914
2023-08-09,S005,P0012,0,55.15,29.59,52.3925,68.94,348,18232.59,23991.12,349.17084,-0.92767333984375
2023-08-09,S005,P0011,4,27.64,22.11,27.64,34.55,120,3316.8,4146.0,120.393265,-0.3688507080078125
2023-08-09,S005,P0010,0,71.61,41.62,68.0295,89.51,88,5986.596,7876.88,88.03043,0.21987152099609375
2023-08-09,S004,P0016,3,33.47,19.87,28.4495,41.84,106,3015.647,4435.04,106.267365,1.022705078125
2023-08-09,S005,P0009,2,66.59,50.93,53.272,83.24,205,10920.76,17064.2,204.2624,0.454864501953125
2023-08-09,S003,P0012,3,37.89,23.79,30.312,47.36,24,727.488,1136.6399999999999,23.684683,0.9937725067138672
2023-08-09,S005,P0006,4,96.87,76.18,82.3395,121.09,204,16797.258,24702.36,204.0563,-0.74090576171875
2023-08-09,S005,P0005,1,68.32,46.66,61.488,85.4,135,8300.88,11529.0,134.74449,0.2236175537109375
2023-08-09,S005,P0004,0,10.83,7.27,9.747,13.54,0,0.0,0.0,0.33406577,-0.35959041118621826
2023-08-09,S005,P0003,1,91.33,61.4,86.7635,114.16,18,1561.743,2054.88,18.256933,-0.37016868591308594
2023-08-09,S005,P0002,0,21.97,14.19,18.6745,27.46,232,4332.4839999999995,6370.72,231.2836,0.4599761962890625
2023-08-09,S005,P0001,3,67.25,36.56,53.8,84.06,13,699.4,1092.78,13.424344,-0.0020923614501953125
2023-08-09,S004,P0020,4,15.35,10.51,15.35,19.19,9,138.15,172.71,9.540196,-0.15314292907714844
2023-08-09,S004,P0019,0,77.44,41.3,65.824,96.8,475,31266.399999999998,45980.0,474.73904,-1.279327392578125
2023-08-09,S004,P0018,2,46.18,30.59,43.871,57.72,61,2676.1310000000003,3520.92,61.948837,-0.11596298217773438
2023-08-09,S005,P0008,2,19.29,13.55,16.3965,24.11,162,2656.2329999999997,3905.8199999999997,161.98586,0.1508636474609375
2023-08-09,S003,P0011,4,52.49,40.44,52.49,65.61,248,13017.52,16271.28,248.3512,0.40899658203125
2023-08-09,S005,P0020,3,85.08,51.82,85.08,106.35,53,4509.24,5636.549999999999,53.456394,-0.39463043212890625
2023-08-09,S003,P0009,1,50.46,36.63,47.937,63.08,65,3115.9049999999997,4100.2,64.68895,0.9670486450195312
2023-08-09,S002,P0002,2,84.69,51.29,84.69,105.86,77,6521.13,8151.22,77.5064,-0.5738296508789062
2023-08-09,S002,P0001,3,31.06,20.94,26.401,38.82,130,3432.13,5046.6,129.61157,1.4365997314453125
2023-08-09,S001,P0020,1,50.14,35.43,47.633,62.68,56,2667.4480000000003,3510.08,56.001118,-0.000827789306640625
2023-08-09,S001,P0019,4,87.4,46.23,74.29,109.25,9,668.61,983.25,8.728626,0.023720741271972656
2023-08-09,S001,P0018,4,17.86,9.32,17.86,22.32,139,2482.54,3102.48,139.51947,0.287567138671875
2023-08-09,S001,P0017,4,56.0,39.41,56.0,70.0,59,3304.0,4130.0,58.738457,0.4626731872558594
2023-08-09,S001,P0016,2,14.5,9.64,13.05,18.12,34,443.70000000000005,616.08,33.95705,0.187957763671875
2023-08-09,S001,P0015,2,26.71,19.76,22.7035,33.39,215,4881.2525,7178.85,214.21808,0.8448486328125
2023-08-09,S001,P0014,4,86.76,62.3,78.084,108.45,20,1561.68,2169.0,19.727684,-0.06120491027832031
2023-08-09,S001,P0013,4,37.32,23.22,29.856,46.65,463,13823.328000000001,21598.95,467.12048,-5.081512451171875
2023-08-09,S002,P0003,0,74.25,56.92,74.25,92.81,302,22423.5,28028.62,302.50412,-0.271240234375
2023-08-09,S001,P0012,1,30.18,16.21,27.162,37.72,46,1249.452,1735.12,45.977184,-0.20162200927734375
2023-08-09,S001,P0010,3,78.44,39.51,70.596,98.05,33,2329.668,3235.65,33.740532,-0.5825004577636719
2023-08-09,S001,P0009,1,72.05,46.87,61.2425,90.06,24,1469.82,2161.44,24.45939,-0.7524890899658203
2023-08-09,S001,P0008,1,30.91,18.62,30.91,38.64,174,5378.34,6723.36,174.07617,-0.3759765625
2023-08-09,S001,P0007,0,47.92,26.99,47.92,59.9,66,3162.7200000000003,3953.4,66.01633,-0.2485198974609375
2023-08-09,S001,P0006,3,31.88,17.3,27.098,39.85,102,2763.996,4064.7000000000003,102.09914,-0.640838623046875
2023-08-09,S001,P0005,2,19.15,10.72,17.235,23.94,25,430.875,598.5,24.485222,0.7640171051025391
2023-08-09,S001,P0004,4,49.66,28.55,49.66,62.08,259,12861.939999999999,16078.72,257.5108,0.674896240234375
2023-08-09,S001,P0003,0,59.41,31.59,56.4395,74.26,255,14392.0725,18936.300000000003,255.0944,0.0498504638671875
2023-08-09,S001,P0002,0,87.66,52.88,83.277,109.57,32,2664.864,3506.24,31.984154,0.24566268920898438
2023-08-09,S001,P0001,2,74.81,48.03,59.848,93.51,455,27230.84,42547.05,451.8403,1.81744384765625
2023-08-09,S001,P0011,0,72.1,43.91,68.495,90.12,295,20206.025,26585.4,294.12808,-0.3031005859375
2023-08-09,S002,P0004,3,54.55,38.99,43.64,68.19,270,11782.8,18411.3,269.78354,0.65155029296875
2023-08-09,S003,P0010,0,91.54,56.57,86.963,114.43,52,4522.076,5950.360000000001,52.632137,-0.3792572021484375
2023-08-09,S002,P0006,1,24.67,13.94,22.203,30.84,16,355.248,493.44,16.44513,-0.4462909698486328
2023-08-09,S003,P0008,2,74.36,56.1,63.206,92.95,9,568.854,836.5500000000001,9.586942,-0.275665283203125
2023-08-09,S003,P0007,2,88.34,63.49,83.923,110.43,7,587.461,773.01,6.911252,0.005438327789306641
2023-08-09,S003,P0006,3,10.81,7.66,9.1885,13.51,145,1332.3325,1958.95,145.18918,0.513336181640625
2023-08-09,S003,P0005,0,11.07,5.78,9.4095,13.84,15,141.14249999999998,207.6,14.45763,0.4774761199951172
2023-08-09,S003,P0004,1,53.76,36.86,51.072,67.2,184,9397.248,12364.800000000001,183.35072,0.7442779541015625
2023-08-09,S003,P0003,4,20.75,15.51,20.75,25.94,145,3008.75,3761.3,145.34882,-1.00494384765625
2023-08-09,S002,P0005,0,88.61,53.09,88.61,110.76,213,18873.93,23591.88,212.26349,0.185760498046875
2023-08-09,S003,P0001,3,23.77,16.75,22.5815,29.71,80,1806.52,2376.8,80.333954,-0.4359130859375
2023-08-09,S002,P0020,3,88.79,57.6,71.032,110.99,147,10441.704,16315.529999999999,147.54985,-0.675537109375
2023-08-09,S002,P0019,1,62.06,38.45,49.648,77.58,102,5064.0960000000005,7913.16,101.735695,0.2015533447265625
2023-08-09,S002,P0018,0,56.64,38.87,53.808,70.8,352,18940.416,24921.6,351.0071,-0.048370361328125
2023-08-09,S003,P0002,4,11.06,5.62,11.06,13.82,74,818.44,1022.6800000000001,73.504036,0.37613677978515625
2023-08-09,S002,P0016,0,29.54,18.91,26.586,36.92,143,3801.798,5279.56,142.5626,-0.05731201171875
2023-08-09,S002,P0015,0,88.44,51.77,79.596,110.55,100,7959.6,11055.0,99.56006,1.1844940185546875
2023-08-09,S002,P0014,2,61.47,34.81,49.176,76.84,15,737.64,1152.6000000000001,14.7774515,0.11790657043457031
2023-08-09,S002,P0013,3,85.73,43.0,72.8705,107.16,11,801.5755,1178.76,11.379976,0.09000396728515625
2023-08-09,S002,P0012,2,99.21,56.36,84.3285,124.01,283,23864.965500000002,35094.83,282.5815,1.09014892578125
2023-08-09,S002,P0011,4,95.48,58.23,81.158,119.35,71,5762.218,8473.85,70.415276,0.8037948608398438
2023-08-09,S002,P0010,1,13.87,9.57,13.1765,17.34,62,816.9430000000001,1075.08,61.36004,-0.6641807556152344
2023-08-09,S002,P0009,1,48.5,33.56,41.225,60.62,237,9770.325,14366.939999999999,237.17508,0.880767822265625
2023-08-09,S002,P0008,2,17.05,12.55,17.05,21.31,20,341.0,426.2,19.277613,0.9336280822753906
2023-08-09,S002,P0007,0,77.06,50.86,65.501,96.32,14,917.0140000000001,1348.48,13.556223,0.005150794982910156
2023-08-09,S002,P0017,2,54.22,31.75,43.376,67.78,74,3209.8239999999996,5015.72,73.75275,0.10854339599609375
2023-08-10,S004,P0005,4,12.62,8.82,11.989,15.77,145,1738.4050000000002,2286.65,144.8499,0.1380157470703125
2023-08-10,S004,P0006,1,95.56,63.08,90.782,119.45,129,11710.877999999999,15409.050000000001,128.424,1.1751251220703125
2023-08-10,S004,P0007,4,74.5,37.87,70.775,93.12,145,10262.375,13502.400000000001,144.43341,0.50982666015625
2023-08-10,S004,P0008,4,34.48,27.36,31.032,43.1,184,5709.888,7930.400000000001,183.54222,0.7592010498046875
2023-08-10,S004,P0013,3,97.43,48.9,82.8155,121.79,8,662.524,974.32,7.5270557,0.49701786041259766
2023-08-10,S004,P0010,2,32.62,25.67,27.727,40.78,71,1968.617,2895.38,70.97474,0.22518157958984375
2023-08-10,S004,P0011,4,53.72,31.85,51.034,67.15,15,765.51,1007.2500000000001,14.726501,0.6347923278808594
2023-08-10,S004,P0012,0,25.54,17.71,25.54,31.92,1,25.54,31.92,0.9418408,-0.02892768383026123
2023-08-10,S004,P0009,0,50.63,26.58,48.0985,63.29,59,2837.8115000000003,3734.11,58.4013,0.8470573425292969
2023-08-10,S004,P0004,1,83.33,47.64,83.33,104.16,49,4083.17,5103.84,49.37337,0.005908966064453125
2023-08-10,S003,P0012,3,46.16,34.78,41.544,57.7,36,1495.5839999999998,2077.2000000000003,36.237175,-0.4203376770019531
2023-08-10,S004,P0002,3,27.29,21.66,24.561,34.11,153,3757.833,5218.83,153.49187,0.1400299072265625
2023-08-10,S004,P0001,0,27.55,14.82,22.04,34.44,212,4672.48,7301.28,211.56195,0.9769744873046875
2023-08-10,S003,P0020,4,20.78,13.65,20.78,25.98,155,3220.9,4026.9,155.63036,-0.2755126953125
2023-08-10,S003,P0019,1,14.11,10.56,11.288,17.64,19,214.472,335.16,19.421144,-0.14545822143554688
2023-08-10,S003,P0018,4,41.08,24.16,32.864,51.35,105,3450.72,5391.75,105.1674,-0.22805023193359375
2023-08-10,S003,P0017,0,54.02,28.28,45.917,67.53,292,13407.764000000001,19718.760000000002,293.77487,-1.666961669921875
2023-08-10,S003,P0016,3,69.95,38.03,62.955,87.44,217,13661.234999999999,18974.48,216.53738,1.252471923828125
2023-08-10,S003,P0015,3,95.14,50.32,90.383,118.92,95,8586.385,11297.4,94.873344,0.6234130859375
2023-08-10,S003,P0014,0,27.78,21.2,23.613,34.72,287,6776.931,9964.64,286.20633,0.554595947265625
2023-08-10,S003,P0013,0,21.79,14.54,17.432,27.24,155,2701.9599999999996,4222.2,154.72427,0.244232177734375
2023-08-10,S004,P0014,4,13.55,9.4,10.84,16.94,145,1571.8,2456.3,143.87816,0.6272430419921875
2023-08-10,S004,P0003,4,98.03,55.1,83.3255,122.54,403,33580.1765,49383.62,400.07272,1.638336181640625
2023-08-10,S004,P0015,1,61.04,48.59,54.936,76.3,251,13788.936,19151.3,250.6772,0.3823089599609375
2023-08-10,S005,P0007,0,23.54,17.86,22.363,29.42,28,626.164,823.76,27.952387,0.5255451202392578
2023-08-10,S004,P0017,0,51.4,29.4,41.12,64.25,52,2138.24,3341.0,52.30109,0.12975692749023438
2023-08-10,S003,P0011,4,68.35,38.33,61.515,85.44,29,1783.935,2477.7599999999998,28.78182,-0.0007610321044921875
2023-08-10,S005,P0019,2,11.09,7.32,9.4265,13.86,16,150.824,221.76,15.430013,0.44890880584716797
2023-08-10,S005,P0018,4,14.71,10.91,11.768,18.39,54,635.472,993.0600000000001,53.534195,0.5384674072265625
2023-08-10,S005,P0017,3,79.16,46.3,67.286,98.95,201,13524.486,19888.95,201.47244,0.79443359375
2023-08-10,S005,P0016,0,61.98,41.32,52.683,77.47,31,1633.173,2401.57,30.852373,0.36030006408691406
2023-08-10,S005,P0015,3,71.52,50.94,60.792,89.4,97,5896.8240000000005,8671.800000000001,97.13649,-0.5660400390625
